gene_name	log2(fold_change)	p_value
dpr9	4,56306	5,00E-05
CG43737	4,56215	5,00E-05
Lkr	4,55479	0,01535
CG4467	4,54984	5,00E-05
CG34357	4,54897	5,00E-05
CG5246	4,54784	0,0019
CG6660	4,5279	0,00105
CrzR	4,52002	5,00E-05
Hs3st-A	4,51983	0,00015
sNPF	4,48722	5,00E-05
dpr15	4,483	0,00555
CG42313	4,48267	5,00E-05
CG34353	4,4763	5,00E-05
CG14234	4,46728	0,0001
CG31814	4,46238	0,0004
sca	4,46122	0,00345
CG17562	4,45457	5,00E-05
nAChRalpha7	4,45147	5,00E-05
mAChR-B	4,43641	0,00085
CG2269	4,43226	5,00E-05
miple1	4,43091	5,00E-05
Obp19c	4,41991	5,00E-05
CG30047	4,41733	5,00E-05
Bili	4,41692	5,00E-05
CG4678	4,41663	0,002
Dop1R1	4,41643	0,0002
Pvf3	4,41313	5,00E-05
gprs	4,40478	5,00E-05
CG31778	4,40297	0,0001
CG7708	4,40293	5,00E-05
zetaTry	4,40122	5,00E-05
vvl	4,39851	5,00E-05
CG31266	4,39663	5,00E-05
CG3104	4,39506	5,00E-05
CG14853	4,38949	5,00E-05
CG12950	4,38659	5,00E-05
CG33012	4,38507	0,01105
Nrx-1	4,38401	5,00E-05
nAChRalpha1	4,38395	5,00E-05
CG30419	4,37923	0,0035
CG5549	4,37076	5,00E-05
unc-13-4A	4,37017	5,00E-05
CG30043	4,36538	5,00E-05
CG14989	4,36402	5,00E-05
CG14528	4,35741	0,0242
CG15270	4,35733	5,00E-05
beat-IIa	4,34855	5,00E-05
CG32444	4,34264	5,00E-05
Nplp1	4,34257	5,00E-05
Mal-B1	4,33653	0,0001
dpr4	4,33296	5,00E-05
Elk	4,32874	0,00045
CG31221	4,32114	5,00E-05
mAChR-A	4,31599	5,00E-05
qtc	4,31149	5,00E-05
CG10472	4,30755	5,00E-05
CG4577	4,30703	5,00E-05
CG12858	4,29576	5,00E-05
CG1979,Sodh-1	4,29388	5,00E-05
CG17364	4,29054	5,00E-05
fas	4,29047	0,0002
CG31267	4,28502	5,00E-05
CG12826	4,2843	0,00015
CG8401	4,28248	0,0003
na	4,27838	5,00E-05
sns	4,27568	5,00E-05
Cdk5alpha	4,26877	5,00E-05
Gr39a	4,26217	0,00385
Gad1	4,26081	5,00E-05
CG18301,Lip4	4,25649	5,00E-05
ChAT,VAChT	4,25111	5,00E-05
mtt	4,24964	0,0163
dpr19	4,24227	5,00E-05
CG8028	4,24105	5,00E-05
Cow	4,23686	5,00E-05
CG43795	4,22986	5,00E-05
CanB	4,228	5,00E-05
CG10186	4,22124	5,00E-05
CG42594	4,21169	5,00E-05
CG42339	4,2115	0,0001
CG14669	4,20484	5,00E-05
FASN2	4,20329	5,00E-05
Oat	4,20263	5,00E-05
Rh6	4,19534	5,00E-05
sif	4,18716	5,00E-05
Nlg3	4,18657	5,00E-05
phyl	4,18395	0,00385
stan	4,17734	5,00E-05
vkg	4,17632	5,00E-05
Ddr	4,17565	0,0015
stnA,stnB	4,17152	5,00E-05
CG31706	4,17035	5,00E-05
RSG7	4,16679	5,00E-05
esn	4,16668	0,0014
Ent3	4,16153	0,02415
Nlg4	4,1609	5,00E-05
CG10096,CG10097	4,15985	0,0011
CG17633	4,15882	5,00E-05
Dscam2	4,15545	5,00E-05
retinin	4,15048	5,00E-05
Mid1	4,14807	5,00E-05
CG32683	4,14803	0,00035
Dr	4,14413	0,0004
fat-spondin	4,13826	0,028
CG12605	4,13494	5,00E-05
CG32191	4,1337	5,00E-05
CG6184	4,12438	5,00E-05
CG13248	4,12251	0,0244
Jon99Fii	4,11935	5,00E-05
dpr12	4,11758	5,00E-05
Gycalpha99B	4,11222	0,02845
CG8654	4,10625	5,00E-05
CG42613,CG43732	4,10022	5,00E-05
CG5895	4,09913	0,00015
jeb	4,09841	5,00E-05
CG15630	4,09821	5,00E-05
eys	4,09506	0,0286
ltl	4,09382	5,00E-05
Prat2	4,09138	5,00E-05
olf413	4,08735	5,00E-05
para	4,0842	5,00E-05
CG3999	4,0836	0,00035
Jon99Ciii	4,06923	5,00E-05
CG8641	4,06424	0,01105
CG9395	4,06133	5,00E-05
CG16756	4,05461	5,00E-05
Ace	4,05278	5,00E-05
beat-IIb	4,04559	0,00065
CG4587	4,04355	5,00E-05
Jhedup	4,04322	0,00105
Dop2R	4,04316	5,00E-05
fne	4,04099	5,00E-05
FASN1	4,03951	5,00E-05
Rh5	4,03771	5,00E-05
CG32547	4,03671	0,00045
CG31265,CG31269	4,03535	5,00E-05
scrt	4,03258	5,00E-05
CG45002	4,02234	5,00E-05
cpx	4,02217	5,00E-05
fusl	4,01919	5,00E-05
Con	4,01313	5,00E-05
salm	4,01014	0,00035
CG5282	4,00798	0,0001
Tsp47F	4,00667	0,0296
CG10362	4,0035	5,00E-05
Ekar	4,00133	5,00E-05
Sema-2b	3,99794	5,00E-05
CCKLR-17D3	3,99639	0,0025
klu	3,99139	5,00E-05
Btnd	3,99001	0,0109
Dop1R2	3,98861	5,00E-05
CG14024	3,98411	0,0002
CG1402	3,98284	0,00045
kek4	3,97216	0,0004
Gr2a,futsch	3,97021	5,00E-05
CG30158	3,96818	5,00E-05
CG34113	3,96803	5,00E-05
Rab3	3,9664	5,00E-05
brp	3,965	5,00E-05
CG17560	3,96496	5,00E-05
CG32052,Ilp1	3,964	0,00515
CG43348	3,9635	0,0009
Syt12,dmrt11E	3,96301	5,00E-05
Syn2	3,96255	5,00E-05
CG6329	3,96146	5,00E-05
klg	3,95502	5,00E-05
CG34375	3,95483	0,0024
unc80	3,95443	5,00E-05
CG1942	3,9543	0,00405
CG34356	3,95013	0,00445
CG6024	3,95008	5,00E-05
CG15209	3,94975	0,02045
AstC	3,94855	5,00E-05
CG2217	3,93827	5,00E-05
CG14762	3,93796	5,00E-05
pog	3,93749	5,00E-05
CG42541	3,93046	5,00E-05
igl	3,92179	5,00E-05
Cg25C	3,91901	5,00E-05
drl	3,91858	5,00E-05
CG33310,GABA-B-R1	3,91818	5,00E-05
CG11319	3,91228	5,00E-05
CG32204	3,90829	0,00075
jdp	3,90734	5,00E-05
CG34393	3,90493	0,0001
Adgf-D	3,9016	0,0015
Appl	3,90064	5,00E-05
nAChRalpha6	3,89993	5,00E-05
CG33639	3,89831	5,00E-05
Rgk2	3,89626	5,00E-05
Nckx30C	3,89613	5,00E-05
CG34370	3,89523	5,00E-05
Tbh	3,88722	5,00E-05
FASN3	3,88698	5,00E-05
CG15431	3,88006	5,00E-05
CR45456	3,87546	0,0038
CG9766	3,87497	0,0047
CG10799	3,87452	5,00E-05
18w	3,87401	5,00E-05
Jon99Fi	3,87398	5,00E-05
PsGEF	3,87314	5,00E-05
CG9259	3,87185	5,00E-05
MFS9	3,87163	5,00E-05
lox2	3,87102	0,0003
GluRIA	3,86867	0,0003
CG11395	3,86779	5,00E-05
Idgf5	3,86263	5,00E-05
CG43774	3,86225	5,00E-05
CG4341	3,86179	5,00E-05
NetB	3,86162	5,00E-05
7B2	3,85523	5,00E-05
DopEcR	3,85072	5,00E-05
CG17475	3,85048	5,00E-05
CG31821	3,85045	0,00055
CG15293	3,84749	5,00E-05
CG16758	3,84733	5,00E-05
CR44662	3,84648	0,0024
Actbeta	3,84462	5,00E-05
beat-VI	3,84395	5,00E-05
CG9512	3,84344	0,013
PIP82	3,83987	0,02425
Scr	3,83856	5,00E-05
side	3,83805	5,00E-05
CG10226	3,83778	5,00E-05
CG6834	3,83689	5,00E-05
Cyp9h1	3,83631	0,0006
CG9121	3,83567	0,0041
nSyb	3,83165	5,00E-05
CG9686	3,82836	5,00E-05
sev	3,8276	5,00E-05
AstC-R1	3,82686	5,00E-05
Rh7	3,82431	0,00085
CG31445	3,82196	5,00E-05
Snap25	3,82066	5,00E-05
CG3822	3,82005	5,00E-05
tok	3,82004	5,00E-05
Cyp6g1	3,81901	5,00E-05
dpr13	3,81685	5,00E-05
MsR1	3,81576	0,0006
FoxP	3,80877	5,00E-05
Pde6	3,80843	5,00E-05
CG17571	3,80785	5,00E-05
CG42322	3,80389	0,0002
CG9813	3,80351	5,00E-05
tey	3,80325	5,00E-05
Obp56e	3,80282	0,00075
Cyp4ad1	3,80254	0,0013
TkR99D	3,80229	0,0006
CG6415	3,80123	5,00E-05
CG3775	3,80056	0,00075
CG32432	3,80008	0,0006
CG42404	3,79983	5,00E-05
Ktl	3,79912	5,00E-05
Cyp6w1	3,79654	5,00E-05
CG7342	3,79634	0,00685
CG10384	3,79481	5,00E-05
X11Lbeta	3,79278	5,00E-05
CG31183	3,79135	5,00E-05
CG5321	3,79108	5,00E-05
Teh1	3,78927	5,00E-05
CG17378	3,7863	5,00E-05
CG5937	3,78553	5,00E-05
CG4409	3,78324	0,00745
Odc1	3,78296	5,00E-05
CG43291	3,78245	0,00025
t	3,7783	5,00E-05
Ca-alpha1T	3,77659	5,00E-05
CG15760	3,77377	5,00E-05
CG14820	3,77296	0,00275
Hex-C	3,77212	5,00E-05
danr	3,77174	0,023
CG13743,CG8197	3,77103	5,00E-05
Gfrl	3,77085	5,00E-05
CG16898	3,76689	5,00E-05
Syngr	3,76144	5,00E-05
CG34331	3,76105	5,00E-05
CG6910	3,76027	5,00E-05
Rab26	3,75935	5,00E-05
bru-3	3,75759	5,00E-05
CG4766	3,75696	0,0001
Alk	3,75317	5,00E-05
SK	3,75136	5,00E-05
Cbp53E	3,7455	5,00E-05
Dgk	3,74522	5,00E-05
CG6830	3,7438	0,0002
mspo	3,74051	0,00015
Toll-7	3,73998	5,00E-05
beat-IIIc	3,73833	5,00E-05
ct	3,73771	5,00E-05
CG1648	3,73558	5,00E-05
tow	3,73503	5,00E-05
CG32187	3,73336	0,004
CG9368	3,73299	5,00E-05
nrv3	3,72648	5,00E-05
CG10283	3,71901	5,00E-05
Tk	3,71333	5,00E-05
CG44037,svp	3,70585	5,00E-05
CG14042	3,70468	0,00195
dpr3	3,70449	5,00E-05
CG14946	3,70373	0,00015
CG45782	3,70027	5,00E-05
CheA75a	3,69948	5,00E-05
bnb	3,69509	0,00015
CG42369	3,69503	5,00E-05
Dh44-R1	3,69446	0,0002
CG15096	3,69384	5,00E-05
CG8500	3,69354	0,0287
Tet	3,69291	5,00E-05
CG15263	3,69149	0,00025
Spat	3,68624	5,00E-05
Mdr49	3,68249	5,00E-05
CG34383	3,67779	5,00E-05
twz	3,67637	0,0004
CG13995	3,67627	5,00E-05
nvy	3,67442	5,00E-05
CG12374	3,6719	5,00E-05
Teh2,Teh3	3,67101	0,00205
CG17386	3,66924	0,0001
CadN	3,66461	5,00E-05
CG31030	3,66063	5,00E-05
CG34166	3,65832	5,00E-05
CR17025,mir-252	3,65832	0,00095
CG32206	3,6567	5,00E-05
CG31343	3,65592	5,00E-05
ry	3,65556	5,00E-05
nAChRalpha2	3,65458	5,00E-05
arg	3,65348	0,02935
CG12913,CG12914	3,65241	0,00055
CG33120	3,64945	5,00E-05
Mp	3,64664	5,00E-05
Rab3-GEF	3,6466	5,00E-05
dpr18	3,64526	5,00E-05
CG30116	3,64509	5,00E-05
Nep3	3,6444	5,00E-05
CG14274	3,64276	0,0001
elav	3,64237	5,00E-05
CG7781	3,64187	0,00035
SP2353	3,6399	5,00E-05
tutl	3,63906	5,00E-05
toy	3,63839	5,00E-05
CG42492	3,63827	5,00E-05
GstZ2	3,63798	5,00E-05
Frq1	3,63737	5,00E-05
Tsp5D	3,6349	0,01055
Syt4	3,63392	5,00E-05
CR43148	3,63381	0,0013
CG6426	3,63342	5,00E-05
DIP-theta	3,63336	0,00105
Hf	3,63276	5,00E-05
tj	3,63113	5,00E-05
Shaw	3,62946	5,00E-05
Cyp18a1	3,62616	5,00E-05
CG31233	3,6236	5,00E-05
Aplip1	3,62343	5,00E-05
CG4053	3,6225	0,0031
CG4660	3,62179	5,00E-05
Cyp4d21	3,61895	0,0193
CG33494	3,6141	5,00E-05
CG5162	3,6135	5,00E-05
CG45263	3,61122	5,00E-05
CG14694	3,60638	5,00E-05
Rbp	3,60443	5,00E-05
CG14509	3,60433	5,00E-05
CG12239	3,60415	5,00E-05
Syn	3,60066	5,00E-05
CG17350	3,59994	0,00075
CG43630	3,59844	0,0054
Cyp6a8	3,59538	5,00E-05
dpr10	3,59454	5,00E-05
fon	3,5899	5,00E-05
Rim	3,58947	5,00E-05
CG42784,CG43850	3,58883	5,00E-05
CG10031	3,58752	5,00E-05
ITP	3,58298	5,00E-05
CG16704	3,581	0,00015
CG5326	3,57887	5,00E-05
CG9220	3,57861	5,00E-05
MtnC	3,57769	5,00E-05
CG9360	3,56939	0,0009
CG2233	3,5606	5,00E-05
CG10479	3,55991	5,00E-05
Tps1	3,55659	5,00E-05
CG43778,CG43779	3,5561	5,00E-05
CG4716	3,55392	5,00E-05
Nep4	3,55386	5,00E-05
CG40198	3,55203	0,0035
CG4962	3,54921	0,0021
CG4259	3,54748	0,0004
Scgalpha	3,54545	0,0002
CG6908	3,54463	5,00E-05
Syt1	3,54406	5,00E-05
dpr2	3,5439	0,0008
nkd	3,54381	5,00E-05
pgant2	3,53666	5,00E-05
Ndae1	3,53601	5,00E-05
CG31414	3,53556	5,00E-05
CG14186	3,53366	5,00E-05
Sytalpha	3,53314	0,0026
CG5071	3,53286	0,01335
Ugt86Dh	3,5282	5,00E-05
Obp28a	3,52671	0,0003
otk	3,52551	5,00E-05
CG30008	3,5242	5,00E-05
ssp6	3,52279	5,00E-05
br	3,51901	5,00E-05
Gnmt	3,51394	0,0001
CG2736	3,51212	5,00E-05
CG11099	3,51177	5,00E-05
CG6282	3,51156	5,00E-05
beat-IIIb	3,51148	0,0002
Jon99Cii	3,50979	5,00E-05
luna	3,50643	5,00E-05
CG12483	3,50418	0,01675
Est-6,Est-P	3,5039	0,0003
St1	3,50323	5,00E-05
CG10560	3,5031	5,00E-05
CG15423	3,50244	5,00E-05
mmd	3,4989	5,00E-05
inaC	3,49555	5,00E-05
CG10680	3,49497	5,00E-05
CG5853	3,4926	5,00E-05
CG15531	3,49001	5,00E-05
Scp2	3,48732	5,00E-05
bap	3,48651	0,0064
CG8773	3,48593	5,00E-05
Eip93F	3,48402	5,00E-05
cry	3,48348	0,00075
CG10433	3,4796	5,00E-05
dpr17	3,47673	5,00E-05
tinc	3,47669	5,00E-05
Oatp33Ea	3,4761	5,00E-05
Ser6	3,47425	0,0009
CG7299	3,47155	0,0039
CG10339	3,47044	0,00135
Pdfr	3,47	5,00E-05
CG10062	3,46754	5,00E-05
CG3246	3,46668	5,00E-05
CG4168	3,46493	5,00E-05
CG13315	3,46462	5,00E-05
CG12484	3,46332	5,00E-05
VhaM9.7-a	3,46105	5,00E-05
Eip74EF	3,4609	5,00E-05
Hn	3,45374	5,00E-05
CG11594	3,45156	5,00E-05
lectin-28C	3,45132	5,00E-05
antdh	3,44768	5,00E-05
stl	3,44746	5,00E-05
NimB4	3,44569	0,0013
dpr11	3,44502	5,00E-05
Spn43Ab,Spn43Ad	3,44316	5,00E-05
CG9509	3,44177	0,00045
mid	3,44168	0,0013
hth	3,44089	5,00E-05
CG30431	3,44052	0,00015
CG13492	3,43963	5,00E-05
CG13579	3,43872	0,015
CG42402	3,43718	5,00E-05
Egfr	3,43505	5,00E-05
Apoltp	3,4349	5,00E-05
CG13795	3,43389	5,00E-05
cv-2	3,43082	5,00E-05
CR45457	3,43029	0,0094
Obp44a	3,43007	0,02175
Mal-A3	3,4299	5,00E-05
nAChRbeta2	3,42976	5,00E-05
sff	3,42609	5,00E-05
Dfd	3,42574	0,00345
CG7990	3,42574	5,00E-05
CG13868	3,42541	5,00E-05
Npc2h	3,42516	5,00E-05
Eip78C	3,42375	5,00E-05
CG15890	3,42252	0,0004
CG30148	3,4206	0,00335
CG18585,CG7025	3,41665	0,0268
ple	3,41403	5,00E-05
cpo	3,41301	5,00E-05
Faa	3,41253	5,00E-05
CG6356	3,4113	0,00015
Ptx1	3,41088	5,00E-05
hgo	3,41004	5,00E-05
CG33970	3,40785	5,00E-05
NimB5	3,40595	0,00025
ap	3,40506	5,00E-05
CG44422	3,40338	5,00E-05
CG34355	3,40198	0,0112
CG33543	3,40148	5,00E-05
stj	3,40062	5,00E-05
TyrR	3,40061	5,00E-05
dysc	3,40001	5,00E-05
Cpn	3,39869	5,00E-05
CG8774	3,3984	5,00E-05
Syn1	3,39677	5,00E-05
Cp19	3,39528	0,00125
Drl-2	3,39508	5,00E-05
CG15803	3,39454	5,00E-05
PGRP-SC1a	3,39293	0,01785
CG7470	3,39106	5,00E-05
CG18302	3,39087	0,0011
CG13739,CG13954	3,38743	0,0013
Rh3	3,38723	5,00E-05
ths	3,38542	5,00E-05
CG7368	3,38275	0,00075
CG2145	3,38136	5,00E-05
CG5773	3,38124	5,00E-05
CG9377	3,37868	0,00345
CG1544	3,37792	5,00E-05
CG1461	3,37778	5,00E-05
unc79	3,37726	5,00E-05
Hdc	3,37156	5,00E-05
cmpy	3,37083	5,00E-05
cac	3,36545	5,00E-05
CG42346	3,36497	0,0224
CG1607	3,36335	5,00E-05
CG9451	3,3618	5,00E-05
CG30427	3,36018	5,00E-05
PVRAP	3,35909	5,00E-05
CG14526	3,35762	0,00085
Rbp6	3,35584	5,00E-05
CG42268	3,35503	5,00E-05
CG3597	3,35473	5,00E-05
Rgk1	3,35267	5,00E-05
CG2993	3,35238	5,00E-05
CG42324	3,3511	0,00035
Nmdar2	3,35084	0,00235
Dscam1	3,34962	5,00E-05
CG4822	3,34495	0,00165
CG13928	3,34465	5,00E-05
CG8245	3,34434	5,00E-05
Cyp6a2	3,34381	5,00E-05
kat-60L1	3,34381	0,00435
CG5758	3,33944	5,00E-05
mgl	3,33927	5,00E-05
salt	3,33687	5,00E-05
NimB3	3,33349	0,00115
CG15553	3,33311	0,00095
CG33143	3,33292	0,00045
CG9649	3,33183	5,00E-05
Obp56d	3,33176	5,00E-05
CG44247	3,3308	5,00E-05
Mdr65	3,33031	5,00E-05
CG13650	3,32955	5,00E-05
CG1441	3,32887	5,00E-05
ninaA	3,32865	5,00E-05
CG31345	3,32718	0,00015
Pkc53E	3,32676	5,00E-05
CG42326	3,32524	0,00015
Rph	3,32056	0,01065
dpr5	3,31615	0,0012
CG34371	3,31542	5,00E-05
nolo	3,31266	5,00E-05
gammaSnap2	3,31009	0,00485
CG11407	3,3075	5,00E-05
CG13532	3,3024	0,0001
CG10621	3,30151	5,00E-05
CG12851	3,30103	0,0001
Rfabg	3,30049	5,00E-05
chp	3,29843	5,00E-05
CG13618	3,29711	5,00E-05
Syt7	3,29565	5,00E-05
CG34362	3,29536	5,00E-05
Odc2	3,29498	0,00375
CG15068	3,29338	5,00E-05
trpl	3,29202	5,00E-05
CG9932	3,29033	5,00E-05
CG6154	3,28714	5,00E-05
CG7560	3,28634	0,00075
CG8358	3,28532	5,00E-05
pdm3	3,28479	5,00E-05
CR44850	3,28462	0,0006
CG7881	3,28403	5,00E-05
Ance-4	3,2839	5,00E-05
bab2	3,28226	5,00E-05
ec	3,28051	5,00E-05
Mmp2	3,27759	5,00E-05
v	3,27732	5,00E-05
boss	3,27436	5,00E-05
alpha-catenin-related	3,27389	5,00E-05
Cyp6a18	3,27217	5,00E-05
CG10514	3,27097	5,00E-05
Vha68-1	3,2659	5,00E-05
CG1941	3,26196	5,00E-05
CG12541	3,26081	5,00E-05
Rdl	3,2539	5,00E-05
CG43066	3,25303	5,00E-05
noc	3,25289	5,00E-05
CG7582	3,25246	0,02425
CG10553	3,25195	5,00E-05
CG7366	3,25079	0,02
dpr20	3,24836	5,00E-05
CG33110	3,24751	5,00E-05
alpha-Est2	3,24691	5,00E-05
CG42817	3,24238	5,00E-05
Atet	3,24195	5,00E-05
CR46266	3,24012	0,002
dpp	3,23796	5,00E-05
scro	3,23783	5,00E-05
unc-4	3,23366	0,0006
Sox21b	3,23144	5,00E-05
Ect3	3,22804	0,00025
Rh50	3,22624	5,00E-05
Trim9	3,22575	0,0001
Obp99c	3,22448	5,00E-05
Ugt86Dj	3,22284	0,0042
CG2837	3,2202	0,02945
Tace	3,21458	5,00E-05
beat-Ic	3,21344	0,00045
Ubx	3,21181	5,00E-05
dac	3,21064	5,00E-05
LanA	3,21045	5,00E-05
Proc	3,21042	5,00E-05
babos	3,20712	0,0001
CG12116	3,20671	0,0001
CG9990	3,20488	5,00E-05
CG14245	3,20388	5,00E-05
CG15408,CG3285	3,20351	5,00E-05
CG5958	3,2035	5,00E-05
CG1468	3,20241	5,00E-05
TM4SF	3,20209	0,00645
CG32483	3,2005	5,00E-05
5-HT1B	3,20027	0,0004
CheA84a	3,1987	0,00505
Fs	3,19825	0,00115
CR45973	3,19824	0,0013
CG17244	3,19813	5,00E-05
CG13255	3,19776	0,00275
CG33080	3,19718	5,00E-05
CG13409	3,19401	5,00E-05
gogo	3,19269	0,0016
Obp49a	3,18749	5,00E-05
CR44922	3,18595	5,00E-05
Eaat1	3,18582	5,00E-05
Drat	3,18112	5,00E-05
CG34227	3,17805	5,00E-05
CG9396	3,17794	5,00E-05
alpha-Est8	3,1778	5,00E-05
CG16947	3,17705	5,00E-05
CG6044,VepD	3,17256	0,00215
Obp99d	3,17058	0,0002
trn	3,17005	5,00E-05
CG17839	3,16921	5,00E-05
CG5767	3,16805	5,00E-05
Six4	3,16794	5,00E-05
LanB1	3,16721	5,00E-05
CG13360	3,16603	5,00E-05
hoe2	3,16477	5,00E-05
CG3955	3,16338	5,00E-05
dysf	3,16168	0,00015
CG43074	3,16101	5,00E-05
sog	3,15907	5,00E-05
Tret1-1	3,15696	5,00E-05
Cyp4aa1	3,15613	0,00415
CG13325	3,15566	0,00195
CR44052	3,15216	0,02485
wb	3,15082	5,00E-05
fru	3,14749	5,00E-05
cas	3,14747	0,0002
CG31300	3,14613	5,00E-05
CG13283	3,14539	0,0011
CG34354	3,14416	5,00E-05
CG43861	3,14243	0,0003
Shab	3,14241	5,00E-05
CG5973	3,14183	5,00E-05
CG8051	3,1414	5,00E-05
D	3,1392	5,00E-05
CG42246	3,13915	0,00045
CG8468	3,13897	0,01685
CG7333	3,13881	0,02165
CG13404	3,13788	0,00395
CR44024	3,13776	5,00E-05
Ank2,CG44195	3,13703	0,00465
ana	3,13295	5,00E-05
CG4927	3,13223	0,0053
CG34040	3,13204	0,0005
CG30278,Oatp58Da	3,13122	5,00E-05
CG11619	3,13035	5,00E-05
mamo	3,1285	5,00E-05
fw	3,12574	0,00025
CG4393	3,12521	5,00E-05
DOR	3,1248	5,00E-05
per	3,12421	5,00E-05
ninaC	3,12073	5,00E-05
emp	3,11833	5,00E-05
CG31475	3,11818	0,00015
CG42337	3,11757	5,00E-05
CG1909	3,11467	5,00E-05
Ugt58Fa	3,11416	5,00E-05
Gbs-76A	3,1131	5,00E-05
CG11221	3,11302	0,00015
drd	3,1112	5,00E-05
LanB2	3,11012	5,00E-05
SPARC	3,10719	5,00E-05
ome	3,10698	5,00E-05
CG7408	3,10358	0,0025
CG5819	3,10335	5,00E-05
NimB2	3,10333	5,00E-05
CG16749	3,10272	5,00E-05
CG43114	3,10218	0,00435
Ggamma30A	3,10187	5,00E-05
CG11852	3,10023	0,0023
eag	3,1002	5,00E-05
CG12912,Hr46	3,09956	5,00E-05
santa-maria	3,09708	0,0249
Hml	3,09687	5,00E-05
Sln	3,09576	5,00E-05
CG9317	3,09554	5,00E-05
CG31769	3,09549	5,00E-05
Syp	3,09528	5,00E-05
CG8665	3,09327	5,00E-05
slp1	3,09259	0,0028
CR44035	3,09029	5,00E-05
Ef1alpha100E	3,08928	5,00E-05
Cyp6a21	3,08795	5,00E-05
CG42361	3,0867	0,02755
CG18208	3,08663	5,00E-05
CG34426	3,08529	5,00E-05
CG17211	3,08509	5,00E-05
CG11842	3,07977	5,00E-05
bark	3,07972	5,00E-05
jim	3,07565	5,00E-05
su(r)	3,07539	5,00E-05
CG16713,CG43165	3,07494	5,00E-05
CG43351	3,07433	0,0085
PKD	3,07247	5,00E-05
CG6067	3,07218	0,0015
Obp19b	3,06986	5,00E-05
CG4306	3,06882	0,0032
GstT4	3,06689	5,00E-05
