gene_name	log2(fold_change)	p_value
CG31663	3,67117	5,00E-05
GluRIB	3,66277	5,00E-05
Nep3	3,66236	5,00E-05
MFS9	3,65909	5,00E-05
CG18493	3,65868	5,00E-05
CG6723	3,65515	0,00055
CG7881	3,64968	5,00E-05
eloF	3,64238	5,00E-05
fon	3,63643	5,00E-05
CG31810	3,62919	0,0004
tey	3,62725	5,00E-05
Crz	3,6251	5,00E-05
CG4721	3,62442	0,0252
beat-Va	3,61675	0,00105
CG42613,CG43732	3,60966	5,00E-05
Cyp6a17	3,60844	0,00055
sev	3,60491	5,00E-05
jdp	3,60374	5,00E-05
repo	3,60269	0,0297
Hs3st-A	3,59593	5,00E-05
nAChRalpha5	3,59374	5,00E-05
CG5890	3,59166	5,00E-05
Btnd	3,5891	0,0001
CG42402	3,58835	5,00E-05
Rh50	3,58016	5,00E-05
CG44314,Drep3	3,57497	5,00E-05
Cg25C	3,56602	5,00E-05
Dop1R1	3,56041	5,00E-05
CG32032	3,56012	5,00E-05
CG7166	3,55415	5,00E-05
CG3078	3,55145	5,00E-05
CG12057	3,55004	0,0001
Pvf3	3,54855	0,0001
Ugt86Dh	3,53633	5,00E-05
Ac3	3,53418	5,00E-05
CG43630	3,53136	0,0261
CG17341	3,53003	0,0002
wry	3,5298	5,00E-05
CR43259	3,52572	0,0026
CG18609	3,52043	0,0029
AANATL2	3,5203	0,0093
AstC	3,51667	5,00E-05
CG17633	3,51518	5,00E-05
Gycbeta100B	3,51508	0,00105
CG13607	3,50852	0,00115
CG34384	3,50818	5,00E-05
Mdr50	3,50455	5,00E-05
PVRAP	3,50084	0,0002
CG16732	3,50002	0,00145
CG15537	3,49865	5,00E-05
CG5770	3,49783	0,00025
Jon65Ai	3,49306	5,00E-05
lab	3,49047	0,0003
CG8093	3,48566	5,00E-05
Ktl	3,48503	5,00E-05
CG18585,CG7025	3,48292	0,01875
IA-2	3,47978	5,00E-05
Mdr65	3,4754	5,00E-05
Task6	3,47374	5,00E-05
Ugt37b1	3,47273	0,00235
CG42750	3,46152	0,0252
Fife	3,46129	5,00E-05
pros	3,45382	5,00E-05
CG32052,Ilp1	3,45347	0,00865
Idgf5	3,44694	0,0001
CG12858	3,44634	5,00E-05
CG15065	3,44566	5,00E-05
CG34393	3,43969	0,0001
CG15803	3,43769	5,00E-05
NimC2	3,43172	0,00435
Jon99Fii	3,43026	5,00E-05
CG9458	3,42965	5,00E-05
Cyp4g15	3,42262	5,00E-05
NimB5	3,42108	5,00E-05
Ag5r2	3,41222	5,00E-05
pdm3	3,40771	5,00E-05
CG14989	3,40291	5,00E-05
Zip71B	3,40161	0,00135
CG9509	3,40053	0,01125
Ptr	3,3985	5,00E-05
DAT	3,39408	5,00E-05
CG10804	3,39275	0,0232
sNPF	3,38266	5,00E-05
Odc2	3,38074	0,0004
CG44037,svp	3,37942	5,00E-05
CG31140	3,37722	5,00E-05
CG8299	3,37586	0,01125
dpr8	3,3747	5,00E-05
CG2772	3,37297	5,00E-05
CG4577	3,37204	5,00E-05
beat-IV	3,36828	5,00E-05
CG14607	3,36386	0,00045
CG7135	3,35856	5,00E-05
Jon99Ciii	3,35643	5,00E-05
ChAT,VAChT	3,35623	5,00E-05
FASN2	3,3554	5,00E-05
Ppn	3,35022	5,00E-05
CG15894	3,34806	5,00E-05
CG13492	3,34364	5,00E-05
CG6403	3,34337	0,00015
CG32547	3,34263	5,00E-05
CG9459	3,33656	0,0004
CG2269	3,33557	5,00E-05
CG9395	3,32444	5,00E-05
CG34114	3,32411	5,00E-05
CG1315	3,32347	0,00165
CG1402	3,32286	5,00E-05
CG8861	3,32259	5,00E-05
DIP-theta	3,31991	0,00015
CG10186	3,31932	5,00E-05
CG32187	3,3193	0,005
CG43207	3,31909	0,0257
CG15082	3,30855	0,00085
dpr20	3,3048	5,00E-05
Sytalpha	3,30322	0,00065
CG32683	3,30206	5,00E-05
5-HT1B	3,30143	0,004
CG5791	3,29886	5,00E-05
Npc2f	3,29395	5,00E-05
CG14982	3,28976	5,00E-05
CG4666	3,28962	5,00E-05
AkhR	3,28412	5,00E-05
CG34208	3,28372	5,00E-05
unc-13-4A	3,28319	5,00E-05
CG9993	3,28039	5,00E-05
gprs	3,27827	5,00E-05
CG9505	3,27767	5,00E-05
VGAT	3,2754	5,00E-05
NetA	3,27392	0,00015
CG4950	3,27295	5,00E-05
Mal-A3	3,27172	5,00E-05
CG5778	3,27011	5,00E-05
CG17571	3,26156	5,00E-05
CG10384	3,25905	5,00E-05
Cyp312a1	3,25531	0,0002
dpr9	3,25425	5,00E-05
miple1	3,25351	5,00E-05
amon	3,25191	5,00E-05
CG33310,GABA-B-R1	3,25059	5,00E-05
NtR	3,24959	5,00E-05
CG5999	3,24792	0,00065
Dscam4	3,24703	5,00E-05
Dgk	3,24653	0,00035
Cyp9b1	3,24598	0,00015
CG10827	3,24403	0,00245
CG30043	3,24204	5,00E-05
CG42404	3,23776	5,00E-05
dpr4	3,23607	5,00E-05
CG14834	3,23398	0,0005
Diedel3	3,23256	5,00E-05
beat-IIIb	3,22673	5,00E-05
CG7708	3,22589	5,00E-05
CG6834	3,22333	5,00E-05
rad	3,22149	5,00E-05
SPARC	3,2152	5,00E-05
luna	3,21422	5,00E-05
DIP-gamma	3,21137	5,00E-05
Mdr49	3,20939	5,00E-05
CG34353	3,20414	5,00E-05
CG17350	3,20104	5,00E-05
CG14017,GluRIIA	3,20023	5,00E-05
Pxn	3,19991	5,00E-05
robo3	3,19886	5,00E-05
slp2	3,19629	0,00255
CG34113	3,1946	5,00E-05
CG14853	3,19388	5,00E-05
fat-spondin	3,19199	0,0038
Gad1	3,18965	5,00E-05
tok	3,18856	5,00E-05
CG16743	3,18567	5,00E-05
CG13579	3,18075	0,0002
CG11319	3,1797	5,00E-05
CG5246	3,17706	5,00E-05
CG42540	3,17704	5,00E-05
CG7299	3,17507	5,00E-05
Tsf1	3,17401	5,00E-05
CG32085	3,17175	5,00E-05
beat-Ic	3,16394	0,0001
CG5758	3,16232	5,00E-05
CG34043	3,15999	5,00E-05
CG43901	3,15835	5,00E-05
beat-Vc	3,15587	0,0006
CG5404	3,15285	5,00E-05
CG16749	3,15236	5,00E-05
CG14762	3,15185	5,00E-05
CG6602	3,15103	5,00E-05
CG32645	3,14694	0,00375
CG9259	3,14507	5,00E-05
Gfrl	3,14363	5,00E-05
CG16836	3,1431	5,00E-05
Teh1	3,14183	0,0001
CG1552	3,13974	5,00E-05
CG18538,CG18539	3,13626	0,0238
CG15531	3,1358	5,00E-05
beat-Vb	3,13456	5,00E-05
CG12374	3,13117	5,00E-05
kek2	3,12749	5,00E-05
CG1304	3,12629	0,0177
CG33281	3,12447	5,00E-05
CCHa1-R	3,12377	0,00025
CG15096	3,12268	5,00E-05
CG14082	3,12245	0,00015
dpr10	3,12178	0,0001
beat-IIIc	3,11942	5,00E-05
Pepck	3,11896	5,00E-05
CG15067	3,11829	5,00E-05
CG17217,CG31760,ZnT33D	3,11651	0,0026
dpr13	3,11491	5,00E-05
CG42541	3,11342	5,00E-05
CG15293	3,10901	5,00E-05
CG30196	3,10841	0,00345
CR44024	3,10717	5,00E-05
CG11236	3,10143	0,0002
CG8774	3,10099	5,00E-05
dpr12	3,10091	5,00E-05
Ets65A	3,09994	5,00E-05
fusl	3,09762	5,00E-05
CrzR	3,09689	5,00E-05
nAChRalpha1	3,09682	5,00E-05
Sema-2b	3,09332	5,00E-05
CG2993	3,09171	5,00E-05
Trpgamma	3,09103	5,00E-05
jeb	3,09028	5,00E-05
Act57B	3,08895	5,00E-05
Nlg4	3,08642	5,00E-05
CG9657	3,08391	0,00195
IM2	3,08305	5,00E-05
CG5002	3,08262	5,00E-05
Cyp4d1	3,08153	5,00E-05
stnA,stnB	3,07792	5,00E-05
CG32191	3,07684	5,00E-05
CG6154	3,0759	5,00E-05
Cngl	3,07395	5,00E-05
CDase	3,07056	5,00E-05
Nlg3	3,06782	5,00E-05
Gr39a	3,06699	0,0096
cd	3,06632	0,0013
dpr18	3,06374	5,00E-05
CG10433	3,06164	5,00E-05
CG4587	3,05868	5,00E-05
CG34426	3,05712	5,00E-05
CG3734	3,05652	0,0033
Shaw	3,04937	5,00E-05
Apoltp	3,04777	5,00E-05
CG9766	3,04711	0,0038
CG10031	3,04462	5,00E-05
CG16756	3,04355	5,00E-05
CG11149	3,04201	5,00E-05
CG34370	3,03895	5,00E-05
CG6142	3,03852	0,0021
CG6125	3,03664	5,00E-05
CG5773	3,03587	5,00E-05
dpr11	3,03336	5,00E-05
CG18249	3,02969	0,0003
CG32483	3,02662	5,00E-05
Ugt58Fa	3,02609	5,00E-05
CG42246	3,02591	0,0002
CG17075	3,02522	0,006
CG31041	3,02282	5,00E-05
salt	3,02248	5,00E-05
Ncc69	3,02228	5,00E-05
CG31814	3,02036	0,00045
CG14120	3,02034	5,00E-05
Nos	3,01868	0,0001
CG12594	3,01796	5,00E-05
CG11741	3,017	0,0159
CG42261	3,01612	5,00E-05
CG3588	3,01603	0,0223
CG32204	3,01399	0,00015
daw	3,01105	5,00E-05
sens-2	3,01021	5,00E-05
MFS3	3,00748	5,00E-05
CG17239	3,00741	5,00E-05
NetB	3,00621	5,00E-05
CR45596	3,00391	0,00745
CG9220	3,00342	5,00E-05
CR45281	3,00056	5,00E-05
Toll-9	2,99798	0,00015
CG8012	2,99718	5,00E-05
psd	2,99549	5,00E-05
Oatp33Ea	2,99378	5,00E-05
CG8249	2,99119	0,0333
fne	2,98997	5,00E-05
FASN1	2,98514	5,00E-05
thetaTry	2,98424	5,00E-05
CG16926	2,98324	5,00E-05
CG14234	2,98208	5,00E-05
CG17781	2,97958	0,01135
bnb	2,97852	0,0005
CG4341	2,97847	5,00E-05
CG4766	2,97679	5,00E-05
Ance-5	2,97327	5,00E-05
et	2,97306	0,00205
CG2736	2,973	5,00E-05
VGlut	2,97194	5,00E-05
CG9109	2,9687	0,0066
GNBP-like3	2,96692	5,00E-05
CG31343	2,9668	5,00E-05
CG7781	2,96568	0,00045
CG31198	2,96565	5,00E-05
CG1092	2,96553	5,00E-05
Ser12	2,96518	5,00E-05
CG4927	2,96446	0,0009
CG13743,CG8197	2,96442	5,00E-05
CG43795	2,9605	5,00E-05
exex	2,95985	0,0001
Frq1	2,95922	5,00E-05
Ugt36Ba	2,95766	0,00395
CG12950	2,95758	5,00E-05
CG3344	2,95712	5,00E-05
CG12605	2,95692	5,00E-05
onecut	2,95009	5,00E-05
CG12851	2,94634	5,00E-05
CG3168	2,94452	5,00E-05
Trh	2,94395	0,00805
ple	2,9419	5,00E-05
Gycalpha99B	2,94167	0,0002
CG43074	2,93789	5,00E-05
CG32669	2,93724	0,00035
CG4467	2,93683	5,00E-05
CG14879	2,93221	0,001
CG34356	2,93212	0,0229
klu	2,9312	5,00E-05
CG8500	2,92924	0,00175
CR44509	2,92403	5,00E-05
Ubx	2,92399	5,00E-05
CG8654	2,92305	5,00E-05
Dscam2	2,92279	5,00E-05
Tk	2,92233	0,0002
IM23	2,92198	0,01965
iotaTry	2,92094	5,00E-05
CG31266	2,91915	5,00E-05
CG9377	2,91812	5,00E-05
dpr21	2,91757	0,00455
TrpA1	2,91634	5,00E-05
nAChRalpha7	2,91525	5,00E-05
CG34340	2,9134	0,001
tinc	2,91299	5,00E-05
CG5687	2,91248	5,00E-05
Aplip1	2,91066	5,00E-05
CG7296	2,90678	5,00E-05
CG8083,CNT1	2,90582	0,01865
CG34380	2,90234	5,00E-05
CG13386	2,901	0,03035
CG13912	2,90092	5,00E-05
CG31267	2,89817	5,00E-05
CG8665	2,89758	5,00E-05
lectin-28C	2,89388	5,00E-05
CG7470	2,893	5,00E-05
CG11318	2,89294	0,0002
dpr19	2,89053	5,00E-05
CG33543	2,88983	5,00E-05
haf	2,88962	0,01285
nord	2,88823	5,00E-05
7B2	2,88788	5,00E-05
CG31221	2,88618	5,00E-05
Toll-6	2,88616	5,00E-05
CG17279	2,88573	0,0085
CG3270	2,88458	5,00E-05
ry	2,88135	5,00E-05
CG43968	2,88099	0,00015
CG12116	2,88066	0,0266
CG11659	2,88064	0,0068
pog	2,88057	5,00E-05
Smyd4	2,87993	5,00E-05
DIP-eta	2,87831	0,00065
CG14946	2,87751	0,0001
CG5767	2,87723	5,00E-05
Obp56e	2,87709	5,00E-05
CG9689	2,87567	5,00E-05
Con	2,8713	5,00E-05
CG13594	2,87129	0,01145
CG8837	2,87126	5,00E-05
dpr3	2,86929	0,00015
CG10479	2,8638	5,00E-05
5-HT7	2,86077	0,0001
phyl	2,86023	0,00095
CG10514	2,85937	5,00E-05
e	2,85869	0,002
CG8358	2,8575	5,00E-05
beat-IIa	2,85518	5,00E-05
CG2217	2,85199	5,00E-05
unc80	2,85188	5,00E-05
Ugt86Dc	2,85181	0,0011
Bili	2,85152	5,00E-05
lox2	2,85045	0,0001
Dop2R	2,84972	5,00E-05
CG6356	2,84762	5,00E-05
CG8157	2,84655	0,00305
mAChR-A	2,84362	5,00E-05
CG9451	2,842	5,00E-05
drd	2,84094	5,00E-05
NimB3	2,8404	0,0001
Cat	2,83864	5,00E-05
CG15255	2,83793	5,00E-05
CG34371	2,8357	5,00E-05
CG43774	2,83317	5,00E-05
CG9368	2,83268	5,00E-05
CG7016	2,83012	5,00E-05
CG31286	2,82815	5,00E-05
Pde6	2,82686	5,00E-05
CG15408,CG3285	2,82409	5,00E-05
Elal	2,82328	5,00E-05
CG30116	2,82209	5,00E-05
dac	2,82142	5,00E-05
nompC	2,82112	5,00E-05
sNPF-R	2,81955	0,0001
CG4830	2,81877	0,00165
CG31436	2,81801	5,00E-05
Cyp6a8	2,81601	5,00E-05
CG17475	2,81552	5,00E-05
vvl	2,81423	5,00E-05
CR43148	2,81286	0,0008
Ndae1	2,81115	5,00E-05
CG13003	2,81072	5,00E-05
CG4678	2,81016	0,0064
CG17109	2,80857	0,003
CG10560	2,80822	5,00E-05
CG4053	2,80818	0,00055
CG11395	2,8076	5,00E-05
Adgf-D	2,80656	0,01135
CG31183	2,80618	5,00E-05
CG10283	2,80531	5,00E-05
Tbh	2,80483	5,00E-05
CG13311	2,80341	5,00E-05
CG5819	2,80287	5,00E-05
CG32573,CG42512	2,80273	0,0169
CG10477	2,80205	5,00E-05
bru-3	2,79892	5,00E-05
CG6830	2,79868	0,0003
CG31097	2,79856	5,00E-05
Tsp42Eq	2,79643	5,00E-05
CG10132	2,79537	5,00E-05
olf413	2,79251	5,00E-05
Irk3	2,7925	5,00E-05
Lkr	2,78835	0,0009
wtrw	2,78519	5,00E-05
sif	2,78517	5,00E-05
na	2,78382	5,00E-05
CG13067	2,78111	0,0005
Hand	2,78091	0,0031
Cyp9h1	2,7809	0,00015
ImpL2	2,77899	5,00E-05
Mid1	2,77748	5,00E-05
Oct-TyrR	2,77677	0,0001
mgl	2,77544	5,00E-05
CG17664	2,77374	0,001
Syn1	2,77317	5,00E-05
CG32833,CG32834,CG9897	2,77296	0,0047
Mal-A8	2,77278	5,00E-05
5-HT2B	2,76898	0,00015
Hs3st-B	2,76892	0,00135
Ptp52F	2,76758	5,00E-05
Tps1	2,7648	5,00E-05
CG30431	2,76195	5,00E-05
CG42369	2,76118	5,00E-05
mspo	2,75988	5,00E-05
CG30278,Oatp58Da	2,75957	5,00E-05
CG10513	2,75862	5,00E-05
Jon99Fi	2,75803	5,00E-05
Nha2	2,75754	5,00E-05
GATAe	2,7573	5,00E-05
CG42833	2,75658	0,0001
CG31324	2,75315	5,00E-05
CG12269	2,75274	0,0001
CG9396	2,75235	5,00E-05
CG1090	2,75213	5,00E-05
CG17999	2,75122	5,00E-05
Oatp74D	2,75113	5,00E-05
Task7,betaTub85D	2,75104	0,0002
CR46058	2,75062	5,00E-05
TyrR	2,7498	5,00E-05
dpr17	2,7493	5,00E-05
Iris	2,74882	0,00365
Syt12,dmrt11E	2,74749	0,0001
IM3	2,7473	5,00E-05
Oat	2,7454	5,00E-05
Spn43Ab,Spn43Ad	2,74503	5,00E-05
CG42450	2,74492	5,00E-05
LanB1	2,74356	5,00E-05
sns	2,74298	5,00E-05
Octbeta1R	2,74267	5,00E-05
CG32023	2,74224	5,00E-05
CG3690	2,74164	5,00E-05
CG12913,CG12914	2,74029	0,01635
AstA-R1	2,73898	0,0034
Ance-3	2,73866	5,00E-05
CG1537	2,7383	0,0114
CG8216	2,73809	5,00E-05
Hex-C	2,73684	5,00E-05
CG31690	2,73637	5,00E-05
CG4962	2,73587	5,00E-05
CG17752	2,73433	5,00E-05
CG9626	2,7328	5,00E-05
nec	2,73213	5,00E-05
CG13160	2,73199	0,0001
ITP	2,73185	0,00015
CG10680	2,73049	5,00E-05
Mal-A2	2,72931	5,00E-05
nrv3	2,72881	5,00E-05
CG4462	2,72758	5,00E-05
CG9394	2,72732	5,00E-05
CG12484	2,72672	5,00E-05
CG10553	2,7248	5,00E-05
CG11426	2,72475	5,00E-05
CG42795	2,72345	5,00E-05
Cbp53E	2,72245	5,00E-05
zetaTry	2,71933	5,00E-05
TkR86C	2,71852	0,0023
twi	2,71765	0,0011
tutl	2,71674	5,00E-05
ppk23	2,71602	5,00E-05
CG3332	2,7155	5,00E-05
LanA	2,71454	5,00E-05
beat-Ia	2,71395	0,0003
CG34351	2,71294	0,00095
CG33258	2,71189	5,00E-05
ome	2,71029	5,00E-05
tobi	2,71019	5,00E-05
CG42322	2,70959	5,00E-05
Ace	2,70959	5,00E-05
st	2,70791	0,0086
CG4734	2,70745	5,00E-05
CG34034	2,70697	0,00955
Mal-A4	2,7066	0,0003
CG6733	2,706	0,0003
htl	2,70532	5,00E-05
CG2145	2,70391	5,00E-05
Cyt-b5-r	2,70358	5,00E-05
tna	2,70287	5,00E-05
CG8641	2,6998	0,00895
Oatp58Db	2,69902	5,00E-05
pgant2	2,69821	5,00E-05
Spat	2,69735	5,00E-05
CG1246	2,69611	5,00E-05
CG9850	2,69568	0,0193
nAChRalpha2	2,69429	5,00E-05
CG2930	2,69401	0,00025
CG44098	2,69352	0,0287
CG34383	2,69174	5,00E-05
cry	2,69155	0,0004
CG16820	2,69001	0,00045
Prat2	2,69001	5,00E-05
Rab3	2,68912	5,00E-05
Ca-alpha1T	2,68908	5,00E-05
Fst	2,6887	0,01695
Obp18a	2,68847	5,00E-05
wat	2,68807	5,00E-05
CG10062	2,68773	5,00E-05
CG9702	2,68472	5,00E-05
CG14855	2,68464	0,0007
CG7560	2,68446	0,00265
Pkc53E	2,68305	5,00E-05
Cyp6a18	2,68245	5,00E-05
CG6910	2,68238	5,00E-05
Cyp6a20	2,68236	5,00E-05
Snap25	2,67878	5,00E-05
gogo	2,67747	0,0005
Cyp9f2	2,677	5,00E-05
CG9555	2,67671	0,0001
CG12826	2,67598	0,00045
dpr14	2,67424	5,00E-05
Ahcy89E	2,66886	5,00E-05
CG11842	2,66786	5,00E-05
ct	2,66602	5,00E-05
rk	2,66473	0,0012
tty	2,66355	5,00E-05
CG18067	2,66343	5,00E-05
Cyp4e3	2,66204	0,0001
Myo28B1	2,66109	0,0001
Tsp5D	2,66074	0,0004
CG18473	2,65973	5,00E-05
CG3246	2,65903	0,0012
Cdk5alpha	2,65881	5,00E-05
CG18173	2,65823	5,00E-05
CG9360	2,65776	0,00035
CG43707	2,65761	5,00E-05
Tequila	2,65714	5,00E-05
Toll-7	2,65619	5,00E-05
CG14535	2,65381	0,0001
CG5397	2,65305	5,00E-05
babos	2,65281	5,00E-05
CG5937	2,65265	5,00E-05
igl	2,65011	5,00E-05
Gasp	2,64925	5,00E-05
Cyp28a5	2,64801	5,00E-05
CG31475	2,64758	0,0001
CG32432	2,64647	0,00115
CG16713,CG43165	2,64643	5,00E-05
bap	2,64631	0,0004
Syn2	2,64542	5,00E-05
CG4822	2,64505	0,01785
CG13315	2,64499	5,00E-05
Jon99Ci	2,64456	5,00E-05
CG45002	2,64454	5,00E-05
CG3829	2,64399	0,00045
CG14205	2,64326	0,01025
CG18180	2,64187	0,0012
dar1	2,64168	5,00E-05
CG42492	2,64131	5,00E-05
Tsp42Ec	2,64117	5,00E-05
CG2680	2,64071	5,00E-05
CG32017	2,64043	5,00E-05
CG9673	2,63918	0,00685
CG33970	2,63915	5,00E-05
Cyp4ac2,Cyp4ac3	2,63815	0,0296
su(r)	2,63493	5,00E-05
Alk	2,63428	5,00E-05
FoxP	2,63397	5,00E-05
CG16758	2,63394	5,00E-05
CG3746	2,6332	0,00015
CG13284	2,63316	5,00E-05
CG3822	2,63266	5,00E-05
vanin-like	2,63018	5,00E-05
CG30195	2,62977	0,0028
GluRIA	2,62941	5,00E-05
CG34355	2,62579	0,0331
Nckx30C	2,62547	5,00E-05
CG10339	2,6253	0,0002
CR44961	2,62459	5,00E-05
CG15760	2,62252	5,00E-05
Pdfr	2,62183	5,00E-05
Egfr	2,61901	5,00E-05
CG30427	2,61754	5,00E-05
CG42342	2,61682	5,00E-05
AstC-R1	2,61624	5,00E-05
axo	2,61447	5,00E-05
Eip78C	2,6136	5,00E-05
Fas2	2,6121	5,00E-05
CG30002	2,61175	0,0012
CG13739,CG13954	2,60996	0,00045
CG34330	2,60887	5,00E-05
CR45736	2,60855	0,0101
side	2,60844	5,00E-05
CG3164	2,60753	5,00E-05
CG1941	2,60636	5,00E-05
CG6012	2,60483	0,01645
CG10799	2,60472	5,00E-05
CG6067	2,60453	0,00705
Gld	2,60261	5,00E-05
CG17364	2,60251	5,00E-05
CG4459	2,60232	0,00175
Act88F	2,59916	5,00E-05
Mmp2	2,59896	5,00E-05
wntD	2,59836	0,0242
Ilp2	2,5977	0,00165
LKRSDH	2,59666	5,00E-05
Neurochondrin	2,59658	5,00E-05
scrt	2,59656	5,00E-05
Lgr1	2,59223	5,00E-05
CG13532	2,59147	5,00E-05
CG11340	2,59091	5,00E-05
CG5321	2,58928	5,00E-05
IM33	2,58807	5,00E-05
CG43351	2,58635	0,0026
CG17324	2,58574	0,0027
CG14669	2,58448	5,00E-05
Cyp6d5	2,58387	0,0069
RhoGAP100F	2,5827	5,00E-05
trh	2,58153	5,00E-05
CG31176	2,58003	0,0001
lambdaTry	2,57897	5,00E-05
CG8785	2,57777	5,00E-05
CG34331	2,5775	5,00E-05
CG5065	2,5772	5,00E-05
klg	2,57711	5,00E-05
nAChRalpha6	2,57674	5,00E-05
Cyp6a2	2,57608	5,00E-05
CG10116	2,57476	0,00145
CG9747	2,57431	5,00E-05
CG9164	2,57067	5,00E-05
CG5080	2,56948	5,00E-05
stan	2,56871	5,00E-05
CG34203	2,56858	5,00E-05
CG6426	2,56829	5,00E-05
pyr	2,56828	5,00E-05
CG7084	2,56783	5,00E-05
CG33282	2,56744	5,00E-05
Odc1	2,56598	5,00E-05
CG15597	2,56194	0,00435
Msr-110	2,56186	5,00E-05
Oatp58Dc	2,56167	5,00E-05
nwk	2,55886	0,02615
CG7368	2,55759	0,0001
CG3775	2,55665	0,001
disco-r	2,55591	5,00E-05
Jon99Cii	2,55423	5,00E-05
CG1468	2,55414	5,00E-05
CG17732	2,55315	0,0005
Pkg21D	2,553	5,00E-05
TrissinR	2,5521	5,00E-05
CG12239	2,55179	5,00E-05
caps	2,55052	5,00E-05
hth	2,55	5,00E-05
CG17646	2,54959	5,00E-05
RSG7	2,5493	5,00E-05
CG15201	2,5465	5,00E-05
tj	2,54578	5,00E-05
Gel	2,54575	5,00E-05
zfh2	2,54557	0,0094
CG12268	2,54484	5,00E-05
CR44035	2,54324	5,00E-05
CG43106,lov	2,54289	0,00025
CG42324	2,54262	0,00075
CG33494	2,54183	5,00E-05
CanB	2,53927	5,00E-05
CG44476	2,53891	0,00585
Gr2a,futsch	2,53733	5,00E-05
yellow-f2	2,53598	5,00E-05
CR44832	2,53597	5,00E-05
Tg	2,53525	5,00E-05
CG32212	2,53507	0,02115
Octbeta3R	2,53394	0,0006
Ugt86Dd	2,53371	5,00E-05
Dscam1	2,53164	5,00E-05
dally	2,53141	5,00E-05
slp1	2,53134	0,0005
Ugt36Bc	2,53036	5,00E-05
Nmdar2	2,53009	0,0057
B-H1	2,52953	0,00125
CG1889	2,52899	5,00E-05
Cyp28d1	2,52873	5,00E-05
Vha68-1	2,52858	5,00E-05
CG3868	2,52809	5,00E-05
Ect3	2,52795	5,00E-05
CG6867	2,5274	0,00065
CG14024	2,5273	5,00E-05
CG18003	2,52429	5,00E-05
CG34362	2,5242	5,00E-05
CG11099	2,524	5,00E-05
