gene_name	log2(fold_change)	p_value
Jon65Ai	3,56202	5,00E-05
CadN2	3,54444	0,00015
jeb	3,53936	5,00E-05
CG16756	3,5333	0,0005
wrapper	3,52715	0,0068
pros	3,51787	5,00E-05
nAChRalpha7	3,51569	5,00E-05
CG14205	3,51265	0,01855
CG3078	3,50518	0,0011
CG5282	3,49761	0,00135
CG9682	3,49481	5,00E-05
phyl	3,49279	0,01935
Cyp4e3	3,49128	0,0007
CG8654	3,48889	5,00E-05
CG6749	3,4866	0,0002
Oatp33Ea	3,48651	0,0002
CG42261	3,47642	0,0012
CG14120	3,46921	5,00E-05
CG6277	3,46545	0,00235
dpr10	3,46452	0,00135
miple1	3,46079	5,00E-05
CG43901	3,46058	0,0001
CG12531	3,45991	5,00E-05
Dop1R1	3,45904	0,00025
CG31221	3,44667	5,00E-05
CG42613,CG43732	3,44446	5,00E-05
CG17341	3,4417	0,00175
CG10384	3,4388	0,0004
CG43737	3,4323	5,00E-05
CG14853	3,42073	5,00E-05
CG18493	3,41748	0,00135
GluRIB	3,41477	0,0011
gogo	3,41348	0,00495
wry	3,40672	5,00E-05
CG15765	3,40615	5,00E-05
TotM	3,40137	0,0127
AkhR	3,40081	5,00E-05
CG14535	3,39948	0,00125
CCHa1-R	3,39513	0,00855
rad	3,39417	0,0006
Tsp5D	3,38952	0,01645
CG12858	3,38633	5,00E-05
Hs3st-A	3,38179	0,0008
Cngl	3,38059	5,00E-05
CG8773	3,37982	0,0005
CG15571	3,37753	0,0187
CG6123	3,37288	5,00E-05
LManVI	3,37153	0,0018
dpr4	3,36127	0,0003
CG4053	3,35979	0,0162
Rab26	3,35353	5,00E-05
robo3	3,35194	5,00E-05
CG34106,beat-IIIa	3,35096	0,0006
IA-2	3,34143	5,00E-05
CG32984	3,33549	0,00245
CG8562	3,33536	5,00E-05
CG6024	3,33526	5,00E-05
CG42404	3,3333	0,00045
Ktl	3,33164	5,00E-05
dpr15	3,33009	0,0058
CG4577	3,32959	5,00E-05
acj6	3,32218	5,00E-05
CG10186	3,31068	5,00E-05
PVRAP	3,30996	0,00065
Dscam2	3,3071	5,00E-05
CG6154	3,30373	0,001
CG4467	3,30275	5,00E-05
Ac3	3,30055	5,00E-05
CG32032	3,30005	0,0007
mAChR-A	3,29616	0,0001
CG15894	3,29544	0,00015
Toll-7	3,29359	0,002
CG4341	3,29238	5,00E-05
CG15537	3,28844	0,00025
scrt	3,2882	5,00E-05
Ets65A	3,27175	0,00145
Fife	3,26371	0,0154
beat-IIa	3,26199	0,0002
Csas	3,26068	0,0223
dpr11	3,25878	0,00045
dpr14	3,25588	0,00065
Ugt86Dj	3,25535	0,00655
fne	3,25308	5,00E-05
VGAT	3,24593	0,0006
CG42313	3,24447	0,0006
CG8665	3,24388	0,00055
Dscam4	3,23752	0,0001
tok	3,23343	5,00E-05
CG14075	3,23313	0,00585
Mid1	3,23047	5,00E-05
Gycbeta100B	3,22363	0,00265
amon	3,22143	5,00E-05
CG2269	3,22092	5,00E-05
Nep4	3,21747	0,0001
CG31814	3,21631	0,0007
sNPF	3,20541	5,00E-05
mag	3,20526	0,0001
Ugt86Dh	3,20521	0,0007
CG3253	3,20506	0,0128
Mdr65	3,20474	0,0001
CG17633	3,20316	5,00E-05
CG5321	3,20259	0,0003
CG32432	3,19734	0,00565
MsR2	3,1968	0,01135
CG32547	3,19632	0,0003
CG34370	3,19292	0,00085
CG33310,GABA-B-R1	3,18376	5,00E-05
CG4587	3,18299	5,00E-05
CG30043	3,18264	0,0006
Nlg3	3,18095	0,0003
dpr1	3,1806	0,0002
Nckx30C	3,17654	5,00E-05
kek2	3,16667	0,00105
fas	3,16146	0,00205
salt	3,15993	0,0018
ChAT,VAChT	3,15675	5,00E-05
na	3,14645	5,00E-05
CG31233	3,14002	5,00E-05
CG43795	3,13984	0,00115
CG13995	3,13634	0,00045
CG15255	3,13541	5,00E-05
VGlut	3,13415	5,00E-05
Cyp6a17	3,1318	0,0031
mAChR-B	3,13127	0,01335
CG14234	3,1264	0,00065
fon	3,12591	5,00E-05
CG30116	3,12519	5,00E-05
dpr12	3,12358	5,00E-05
Dgk	3,12207	0,00555
CG32483	3,11891	0,0001
CG12605	3,10942	5,00E-05
CG3344	3,10863	5,00E-05
CG33282	3,10754	0,00155
CG2993	3,10347	5,00E-05
CG31265,CG31269	3,101	0,0009
CG34113	3,10015	0,0014
Prat2	3,09866	5,00E-05
Btnd	3,09404	0,0168
Cbp53E	3,08897	5,00E-05
nAChRbeta2	3,08212	0,0012
CG16854	3,08067	0,00175
CG34356	3,07535	0,01795
TkR99D	3,07187	0,0071
Sln	3,07093	0,00015
Dh44	3,07075	0,0014
Ser6	3,06887	0,0029
Ugt37b1	3,06377	0,02025
CG12484	3,06351	5,00E-05
sif	3,06025	5,00E-05
Nep3	3,05709	5,00E-05
CG11318	3,05362	0,01075
Octbeta1R	3,05346	0,0002
CG13305	3,05305	0,00865
CG32444	3,05027	5,00E-05
Trpgamma	3,04992	0,004
CG3822	3,03413	0,0012
Ptx1	3,03409	5,00E-05
nAChRalpha6	3,03335	5,00E-05
CG4259	3,03252	0,00415
CG10226	3,03097	5,00E-05
Ca-alpha1T	3,02867	5,00E-05
CG15760	3,0263	0,0001
DAT	3,02064	0,0074
Ddr	3,00676	0,0008
CG34353	3,00244	0,0002
Frq1	2,999	5,00E-05
Syt12,dmrt11E	2,99844	0,0002
pog	2,99778	5,00E-05
CG7708	2,99488	5,00E-05
CG18003	2,99433	5,00E-05
v	2,99413	0,00045
CG10472	2,99149	5,00E-05
CG6723	2,99052	0,00715
tutl	2,99012	5,00E-05
Tps1	2,98865	5,00E-05
Shaw	2,98795	5,00E-05
Cyp4g15	2,98735	0,0001
vkg	2,98548	5,00E-05
CG34351	2,98133	0,00765
CG42540	2,98002	5,00E-05
CG11236	2,97442	0,0028
CG9368	2,97411	0,0005
daw	2,97062	0,0001
dpr8	2,97058	0,00065
nAChRalpha2	2,97035	0,00095
CG43707	2,96809	0,00125
dpr9	2,9675	5,00E-05
CG14982	2,96114	0,001
CG14669	2,96015	0,00045
CG34354	2,95919	5,00E-05
CG13579	2,95705	0,00195
stnA,stnB	2,95428	5,00E-05
CG12851	2,94991	5,00E-05
CG10132	2,9398	0,01115
Gr39a	2,9386	0,0182
beat-Vb	2,93769	0,0011
RSG7	2,93719	5,00E-05
Gycalpha99B	2,93687	0,0033
CG10799	2,933	0,0001
CG4766	2,93279	0,00225
gprs	2,92921	0,00055
Jon25Biii	2,92682	5,00E-05
CG11221	2,92517	0,00105
CG34380	2,92244	0,0001
haf	2,92232	0,00585
olf413	2,92206	5,00E-05
Hex-C	2,92092	0,00045
CCKLR-17D3	2,91403	0,00555
Rdl	2,91397	5,00E-05
CG8083,CNT1	2,90919	0,01215
CG11395	2,90814	5,00E-05
Rab3	2,90585	5,00E-05
unc80	2,90325	5,00E-05
Cg25C	2,90302	5,00E-05
CG31663	2,90071	5,00E-05
CG15096	2,90062	5,00E-05
Ect3	2,89323	0,00355
CG8028	2,89299	0,0011
CG8051	2,89164	0,0001
Alk	2,89149	5,00E-05
Cyp4d1	2,89124	0,003
CG13492	2,89007	5,00E-05
mspo	2,88914	0,0006
beat-IIb	2,88701	0,0018
CG33966	2,88523	0,00675
CG5895	2,88484	0,0019
Dop2R	2,87921	0,0002
CG12950	2,87597	0,0001
CG5937	2,87561	5,00E-05
CG42402	2,874	0,00125
CG3104	2,87336	5,00E-05
nvy	2,86851	0,00095
Hs3st-B	2,86485	0,00775
Ms	2,86395	5,00E-05
Tet	2,86367	5,00E-05
Ptr	2,85944	0,0006
CG33543	2,85707	0,0002
CG2217	2,8567	5,00E-05
Diedel3	2,85632	0,0004
Ace	2,84513	5,00E-05
CG33494	2,83949	0,00195
CR17025,mir-252	2,83778	0,01635
Pvf3	2,83648	0,0003
Aplip1	2,83452	0,00015
CG5890	2,83342	0,00545
CG42337	2,82973	0,0004
side	2,82402	0,0002
Oat	2,82369	5,00E-05
CG9458	2,82173	0,0016
CG16743	2,81832	0,0036
para	2,81479	5,00E-05
NimB3	2,81388	0,00745
CG31183	2,8113	5,00E-05
CG11898	2,80914	0,00925
CG7881	2,80842	0,00135
Drl-2	2,80538	0,00165
nAChRalpha1	2,80479	5,00E-05
CG16758	2,80447	5,00E-05
CG31097	2,80339	0,00295
sca	2,80336	0,00395
CG34371	2,80318	5,00E-05
CG31821	2,80222	0,00415
CDase	2,80141	0,00025
CG33639	2,80123	0,0013
CG34383	2,80105	5,00E-05
FASN1	2,80023	5,00E-05
NetA	2,79941	0,00675
Dh44-R1	2,79929	0,00385
CG11594	2,79886	0,0006
Pde6	2,79838	0,0002
AstA-R2	2,79677	0,00175
CG3775	2,79531	0,0051
Spn43Ab,Spn43Ad	2,7898	5,00E-05
CG15293	2,78896	5,00E-05
CG11319	2,78795	5,00E-05
CG15406	2,78703	5,00E-05
Jon99Fii	2,78659	5,00E-05
CG12594	2,78627	0,00205
CG6910	2,78621	5,00E-05
FoxP	2,78437	0,0001
Odc1	2,78156	0,0002
tld	2,78117	0,00035
CG4716	2,78065	5,00E-05
mmd	2,78061	5,00E-05
CG8398	2,78031	0,00015
ltl	2,77671	5,00E-05
CG18301,Lip4	2,77391	0,00495
onecut	2,77155	5,00E-05
CG3635	2,76746	0,01025
CG1648	2,76534	5,00E-05
CG1979,Sodh-1	2,76275	5,00E-05
Spat	2,76245	5,00E-05
Sytalpha	2,75882	0,0222
CG32206	2,75799	0,0014
CG30419	2,7566	0,0004
CG17364	2,75419	0,0006
CG7470	2,75357	5,00E-05
ssp6	2,75353	0,00205
Syn1	2,75108	0,0001
CG6184	2,75079	0,00085
CG34208	2,74857	0,0091
Scp2	2,74701	5,00E-05
CG34393	2,74528	0,00445
Mal-A7	2,74415	5,00E-05
Teh1	2,74393	0,00025
RhoGAP100F	2,74388	5,00E-05
CG9505	2,74326	0,00225
CG1090	2,7421	0,0001
CG16749	2,74161	5,00E-05
CG3168	2,73787	5,00E-05
Cyp6a8	2,73341	5,00E-05
CG10433	2,73322	5,00E-05
CG15270	2,73299	5,00E-05
CG12913,CG12914	2,72897	0,00545
lectin-28C	2,72783	0,0002
CG40470	2,72672	0,00035
Pdf	2,72503	0,0001
Elk	2,72368	0,00365
CG6415	2,71741	0,00255
Hsp68	2,71518	0,00265
Obp44a	2,71412	0,0106
Tk	2,71397	0,00675
jdp	2,71276	5,00E-05
CG10621	2,7116	0,0003
CG45263	2,71056	5,00E-05
CG45002	2,71007	5,00E-05
X11Lbeta	2,70876	5,00E-05
igl	2,70566	5,00E-05
CG15803	2,70223	0,00245
CG1695	2,70103	0,00015
klu	2,69926	0,00225
CG43778,CG43779	2,69922	0,0001
unc79	2,69732	0,00305
Apoltp	2,69075	5,00E-05
sev	2,69027	5,00E-05
CG16704	2,6895	0,00265
Idgf5	2,68761	0,0033
CG6329	2,6867	5,00E-05
bru-3	2,68574	5,00E-05
NimB5	2,68498	0,00585
CG10592	2,68395	0,00355
CG2016	2,6817	0,0017
unc-13-4A	2,68039	0,00025
CrzR	2,67969	0,0007
CG18208	2,67954	0,00015
CG32017	2,67837	5,00E-05
mid	2,67612	0,0037
CG6125	2,6756	0,0015
Appl	2,6738	5,00E-05
FASN2	2,67065	5,00E-05
CR44961	2,6696	0,0005
CG42541	2,66796	0,00025
CG42795	2,66568	5,00E-05
brp	2,66455	5,00E-05
ry	2,66379	5,00E-05
CG17571	2,65506	5,00E-05
dpr13	2,65415	0,0034
CG1544	2,65315	0,00025
Lst	2,65161	5,00E-05
CG10477	2,6508	5,00E-05
Muc55B	2,64936	0,00795
Dr	2,64924	0,0038
DIP-theta	2,64826	0,0016
tj	2,64687	5,00E-05
CG3690	2,6456	5,00E-05
CG18417	2,64438	0,00185
Proc	2,64433	5,00E-05
Con	2,64154	0,0009
CG4168	2,63792	0,003
Jon99Ciii	2,63749	5,00E-05
CG42324	2,63702	0,00895
dpr5	2,6358	0,00635
Rbp	2,63539	5,00E-05
CG18747	2,63409	0,00045
Doc1	2,63313	0,0158
CG32191	2,63088	0,00345
CG16826	2,63033	5,00E-05
CG1552	2,62958	0,0005
Snap25	2,62845	5,00E-05
CG42784,CG43850	2,62812	5,00E-05
Actbeta	2,62749	0,0003
CG7910	2,62722	5,00E-05
dpr20	2,62634	0,0041
Mp	2,62496	0,0001
GATAe	2,62111	0,00015
CG18173	2,62	0,00065
CG31041	2,61699	0,0001
CG31874,Sur	2,61399	0,0059
CG34362	2,61259	5,00E-05
CG10479	2,6121	0,00025
Mdr49	2,61134	0,0004
Octbeta3R	2,61076	0,01385
Syngr	2,61074	0,00015
ap	2,60923	0,0003
elav	2,60792	0,00105
CG42450	2,60686	5,00E-05
CG1468	2,60594	0,0002
slow	2,60548	0,00405
trh	2,60366	0,0003
CG42342	2,60326	5,00E-05
Ubx	2,60179	0,00045
CG5404	2,60145	0,0038
CG10680	2,60119	0,0005
dpr19	2,60081	0,0031
Gr2a,futsch	2,59973	5,00E-05
br	2,59544	0,0026
DIP-eta	2,59309	0,01975
CG13293	2,5918	0,0053
GluRIA	2,58915	0,00295
CG32726	2,58793	0,00345
hoe2	2,58728	5,00E-05
Eip78C	2,58654	0,00105
CG14762	2,58559	5,00E-05
Dscam1	2,58558	5,00E-05
rdo	2,58549	0,00185
CG30431	2,58264	0,0034
Idgf1	2,58075	0,00515
ome	2,57991	0,0001
stj	2,57883	5,00E-05
CG13912	2,57866	0,0008
CG10031	2,57677	0,00275
CG5758	2,57397	5,00E-05
shd	2,57395	0,01115
Socs36E	2,57295	5,00E-05
CG16898	2,57145	0,0001
CG10283	2,56722	0,0002
Bili	2,56574	0,00095
DIP-beta	2,56278	0,0023
CanB	2,55463	5,00E-05
Tequila	2,54947	5,00E-05
CG10062	2,54878	0,00225
su(r)	2,54708	5,00E-05
CR46058	2,5466	0,01065
CG9220	2,5451	0,00235
CG5326	2,54376	0,0003
dally	2,54275	5,00E-05
CG4301	2,54155	0,0001
Muc11A	2,54019	5,00E-05
Rab3-GEF	2,53998	5,00E-05
Mal-A2	2,53908	5,00E-05
tio	2,53399	0,0012
CG44247	2,53112	0,01235
Rim	2,52911	5,00E-05
tal-3A	2,52869	0,0005
CG1213	2,52745	5,00E-05
CG31198	2,52624	5,00E-05
AstC-R1	2,52511	0,0003
CG4462	2,52467	0,0039
CG6044,VepD	2,52419	0,00535
CG16904	2,52378	5,00E-05
Nlg4	2,52234	0,0025
ths	2,52072	0,0001
Gfrl	2,5198	5,00E-05
CG3699	2,51758	5,00E-05
klg	2,51439	0,00655
ImpL3	2,51201	0,00015
CG33120	2,50685	0,0027
CG34331	2,50616	0,0022
Jon99Ci	2,50481	5,00E-05
CG31030	2,50193	0,0001
CG4734	2,5011	0,00035
MFS9	2,50015	0,00365
CG43774	2,49909	5,00E-05
CG42369	2,49764	0,0006
CG9733	2,49763	0,0154
tinc	2,49708	0,0001
NPFR	2,49648	0,00265
Gbs-76A	2,49377	5,00E-05
Ugt58Fa	2,49375	0,0008
AstC	2,49227	0,00075
CG5819	2,48753	0,0001
Rbp6	2,48687	5,00E-05
fru	2,48669	0,0001
CG5361	2,48667	0,01745
CG1246	2,48604	0,0093
CG31102	2,48526	5,00E-05
sr	2,4836	0,002
TrpA1	2,48244	0,00245
Vha68-1	2,48145	5,00E-05
CG8774	2,47369	5,00E-05
CG12355	2,47358	0,00205
Ndae1	2,473	5,00E-05
nolo	2,47214	5,00E-05
LanB1	2,47188	5,00E-05
CG14017,GluRIIA	2,47162	0,0002
CG32333	2,47128	5,00E-05
Pxn	2,47115	5,00E-05
CG9396	2,47031	0,0039
CG12766	2,46804	0,00795
CG31345	2,46749	0,0086
CG6048	2,46713	0,00115
Fad2	2,46697	5,00E-05
Cdep	2,46667	5,00E-05
CG6282	2,46658	0,0002
dpr21	2,46512	0,0155
Egfr	2,46343	5,00E-05
cac	2,46133	5,00E-05
rn	2,46096	0,00265
LanA	2,45885	5,00E-05
SPARC	2,45673	5,00E-05
Ppn	2,45486	5,00E-05
LanB2	2,44952	5,00E-05
CG18249	2,44602	0,0122
htl	2,4418	5,00E-05
vvl	2,44017	5,00E-05
CG33281	2,43892	0,0011
Elal	2,43891	0,0009
CG34040	2,43762	0,0049
CG15365	2,43745	0,00065
ana	2,43643	0,00335
nkd	2,43394	0,0008
fkh	2,43381	5,00E-05
CG13315	2,43293	5,00E-05
CG8216	2,42816	0,00055
nub	2,42373	0,00195
cmpy	2,42277	0,00575
tna	2,41998	0,00085
CG6700	2,41929	0,00375
ct	2,41599	5,00E-05
bab2	2,4141	5,00E-05
CG17562	2,41385	0,0018
Cdk5alpha	2,41208	0,0001
CG34054	2,40809	0,0141
Oli	2,40803	0,0094
CG7166	2,40802	0,00515
CG13795	2,40616	0,00065
CG4328	2,40534	0,0142
loh	2,4046	0,0027
Trim9	2,40418	0,0046
CG12014	2,40262	0,00945
CG15531	2,40074	5,00E-05
7B2	2,39998	5,00E-05
Tusp	2,39948	0,0056
CG31266	2,39924	0,00625
Cyp28d1	2,39646	5,00E-05
beat-IIIc	2,39523	0,00295
CG42322	2,39518	0,001
CG17124	2,39407	5,00E-05
Tbh	2,39334	0,0033
CG9164	2,38937	0,0032
Tace	2,3882	0,00045
pgant2	2,38709	0,0002
sli	2,38701	5,00E-05
axo	2,38602	5,00E-05
Spn88Eb	2,38514	0,0012
PK2-R2	2,38485	0,00935
Syn	2,38249	5,00E-05
CG13654	2,38243	0,00765
Mrp4	2,38181	5,00E-05
Cyp309a1	2,38091	0,00205
Cyp6a18	2,37938	5,00E-05
Rh50	2,37917	0,00165
CG13868	2,37542	5,00E-05
ACC	2,37407	5,00E-05
CG5162	2,37317	5,00E-05
CG10086	2,37001	0,0007
Syt1	2,36859	5,00E-05
CG9555	2,36849	0,00595
CG9394	2,36607	5,00E-05
scb	2,36478	5,00E-05
Syn2	2,36339	0,0017
CR44024	2,36265	0,00025
CG14257	2,36218	0,01005
nrv3	2,36085	5,00E-05
CG4962	2,3593	0,00885
CG5767	2,35862	5,00E-05
CadN	2,35819	5,00E-05
CG9626	2,35697	5,00E-05
CG30158	2,35671	0,00825
hth	2,35539	5,00E-05
Pdfr	2,35408	0,00025
ptc	2,35391	0,00545
CG8708	2,34997	0,00085
SP2353	2,34959	5,00E-05
Lim1	2,34823	0,0051
hiw	2,34597	0,0121
Cow	2,34278	0,00015
wtrw	2,34209	0,01575
MFS3	2,34185	0,0011
TyrR	2,34045	0,00525
drl	2,33747	0,0004
CG31343	2,33733	5,00E-05
Jhedup	2,33542	0,01855
CG3829	2,33324	0,00735
CG10924	2,32971	0,01285
CG6834	2,32895	0,0004
Irc	2,32892	5,00E-05
thetaTry	2,32818	5,00E-05
CG33080	2,32662	5,00E-05
Rh7	2,3255	0,0043
exex	2,32519	0,0146
CG42817	2,32502	5,00E-05
caps	2,32432	5,00E-05
vanin-like	2,32291	0,0005
mgl	2,32286	0,00635
CG10170	2,32147	0,00095
CG16947	2,32071	0,00465
Crz	2,32053	0,0059
CG3868	2,31948	5,00E-05
CR45015	2,31872	0,00395
stl	2,31741	0,002
nAChRbeta1	2,31587	5,00E-05
CG30015	2,315	5,00E-05
iotaTry	2,31421	0,00685
CG1909	2,31013	5,00E-05
fusl	2,30747	0,00325
GABA-B-R2	2,3073	5,00E-05
CG31267	2,30671	5,00E-05
CG11000	2,30596	0,00065
CG6495	2,30567	5,00E-05
CG7990	2,3055	0,0001
Cyt-b5-r	2,30493	5,00E-05
Six4	2,30478	0,0002
CG31414	2,30435	0,0022
CG12963	2,30072	0,00035
CG8157	2,30052	0,0151
CG4393	2,29672	5,00E-05
mesh	2,29566	5,00E-05
scro	2,29335	0,0034
CG1607	2,29287	0,0001
CG6283	2,29029	0,00885
CG42700	2,28885	0,0027
CG4829	2,28876	0,00105
CG5958	2,28847	5,00E-05
CG9380	2,28846	5,00E-05
Vha100-5	2,28597	0,0005
Kua	2,28508	0,00015
SPR	2,28406	0,0027
sick	2,28204	5,00E-05
TyrRII	2,28018	0,0043
CG9279	2,27983	5,00E-05
CG14933,CG42486	2,27948	0,0019
CG6006	2,27781	5,00E-05
CG32115	2,27622	0,0185
CG13743,CG8197	2,27459	0,0007
qvr	2,2742	5,00E-05
CG17646	2,27339	5,00E-05
CG32695	2,27134	0,0006
Jon99Fi	2,27117	0,0005
CG32369	2,26957	0,0003
zetaTry	2,26932	0,00115
CG4607	2,26877	0,00165
jim	2,26692	5,00E-05
tty	2,2664	5,00E-05
babos	2,26614	0,00025
SK	2,26584	5,00E-05
MsR1	2,26534	0,0086
Ppa	2,26335	5,00E-05
MtnB	2,26307	0,0006
CG31869	2,26212	0,00025
CG43349	2,26077	5,00E-05
CG14509	2,25998	5,00E-05
toy	2,25883	0,0009
CG5171	2,25727	0,0001
luna	2,25716	0,0092
Ance-4	2,25559	0,0039
CG33109	2,25524	5,00E-05
Ncc69	2,25465	5,00E-05
CG4666	2,25424	0,0008
Lsd-1	2,25264	0,0003
plum	2,25197	5,00E-05
Shal	2,25174	0,00015
CG2681	2,25055	5,00E-05
CG9449	2,24886	5,00E-05
Scgalpha	2,24836	0,01155
CG2736	2,24703	0,00035
CG10625	2,2462	0,00015
Act57B	2,24553	5,00E-05
CG42235	2,24436	5,00E-05
eys	2,24011	0,0028
Ance-5	2,23871	0,0016
CG12402	2,23846	0,0027
Fs	2,2363	0,00755
CG34043	2,23539	0,0007
Fas2	2,2329	5,00E-05
Cyp4g1	2,23246	0,0014
chinmo	2,2319	5,00E-05
CR43417	2,2296	0,0068
srp	2,22764	5,00E-05
Tret1-1	2,2276	5,00E-05
CG42492	2,22613	5,00E-05
CG18746	2,22498	0,0077
CG10623	2,22283	5,00E-05
fz2	2,22117	0,0001
CG44422	2,22061	0,00065
retinin	2,22043	5,00E-05
trol	2,2194	5,00E-05
CG13003	2,21881	0,00135
D	2,21699	0,0031
CG43066	2,21647	5,00E-05
CG3955	2,21552	0,0115
CG43078	2,2146	5,00E-05
FMRFa	2,21457	0,00025
CG12269	2,21433	0,01665
CG1941	2,21369	0,0057
Cyp6w1	2,21325	5,00E-05
Gel	2,21234	5,00E-05
Acp53C14c,CG42392,unc-104	2,21221	5,00E-05
cv-2	2,21156	0,00015
comm	2,21069	0,0074
CG7164,Uro	2,20765	5,00E-05
CG10553	2,20736	0,0002
Tsp42Ec	2,20672	5,00E-05
CG14015	2,20626	0,01005
CG8738	2,20613	0,00705
CG7299	2,20562	0,0063
Clk	2,20503	5,00E-05
mab-21	2,20452	0,0102
yellow-b	2,20359	0,0033
CG14457	2,20264	0,01095
CG9008	2,20251	5,00E-05
sty	2,19949	5,00E-05
h	2,19729	5,00E-05
CG13532	2,19686	0,00355
DopEcR	2,19657	5,00E-05
cpx	2,19607	5,00E-05
CG9509	2,1959	0,01305
CG30456	2,19551	0,00315
Cyp6a2	2,19475	0,00455
NaPi-T	2,19322	5,00E-05
CG10512	2,19135	0,021
betaTub97EF	2,19103	5,00E-05
CG31087	2,19058	0,0044
Shab	2,19034	5,00E-05
Gp150	2,18272	5,00E-05
Tsp42Eg	2,18209	5,00E-05
CG42673	2,18095	5,00E-05
Rgk1	2,17814	0,00225
Hf	2,17626	0,00035
Kr-h1	2,17592	5,00E-05
CG11317	2,17553	0,0014
CG13067	2,17523	0,0086
CG32687	2,17522	5,00E-05
CG18473	2,1749	5,00E-05
gce	2,17416	5,00E-05
CG42268	2,17355	5,00E-05
CG10137	2,1734	0,01245
Fer1	2,17291	0,0125
Whamy	2,17291	0,0007
CG15408,CG3285	2,17199	0,0003
mGluR	2,1715	0,0004
AstA	2,167	0,00065
Syt4	2,16679	5,00E-05
CG13409	2,16662	0,01395
Ahcy89E	2,1661	0,00235
Neurochondrin	2,1636	5,00E-05
Pask	2,16357	0,0114
CG6040	2,16224	5,00E-05
CG4928	2,16102	5,00E-05
CG11099	2,15896	0,00055
CG10650	2,1578	0,00025
E(spl)m3-HLH	2,15759	0,006
Eaat1	2,15746	5,00E-05
cln3	2,15613	0,0003
tow	2,15539	0,00265
CG11340	2,15504	0,0112
edl	2,15458	0,00735
psh	2,15327	0,01255
CG13928	2,153	0,00745
CG15742,mew	2,15122	5,00E-05
Hn	2,1511	5,00E-05
sens-2	2,15069	0,0067
CG31326	2,14878	5,00E-05
Glut4EF	2,1464	0,0175
CG7191	2,14559	0,0137
CG3164	2,14542	0,00565
Eip74EF	2,14437	0,0018
salr	2,14422	0,0091
CG31286	2,14312	0,00285
Ndg	2,14222	0,0059
beat-VII	2,14088	5,00E-05
CG31547	2,14027	5,00E-05
mthl3	2,13919	0,0027
CG12071	2,13887	5,00E-05
CG8745	2,1386	5,00E-05
Ac76E	2,13639	5,00E-05
nec	2,13634	5,00E-05
Mmp1	2,13631	0,01255
CG16791	2,13519	5,00E-05
CG3328	2,13515	5,00E-05
Oamb	2,13509	0,00735
yip7	2,1341	5,00E-05
tnc	2,13323	0,0008
CG5778	2,13296	5,00E-05
CG12268	2,13296	0,0028
Cyp6g1	2,13254	5,00E-05
DOR	2,13164	5,00E-05
noc	2,1311	0,0002
fng	2,13021	0,0005
CG33285,ko	2,12971	0,0003
Fas3	2,12856	5,00E-05
LKRSDH	2,12821	0,0023
corn	2,12814	0,00065
CG33511	2,12813	0,0142
Cht5	2,1273	0,0122
Mipp1	2,12676	5,00E-05
CG2145	2,12667	0,0002
CG8907	2,12649	0,00035
bap	2,12579	0,01805
Bace	2,1249	5,00E-05
nSyb	2,12469	5,00E-05
