gene	symbol	TV_pcor_estimate	TV_pcor_p.adj	TV_aov_cell_p.adj	TV_aov_infection_p.adj	TV_aov_infection_mean_logFC	TV_aov_cell.infection_p.adj	DMelNV_pcor_estimate	DMelNV_pcor_p.adj	DMelNV_aov_cell_p.adj	DMelNV_aov_infection_p.adj	DMelNV_aov_infection_mean_logFC	DMelNV_aov_cell.infection_p.adj
Dmel_CG7359	Sec22	-0.0269764526790988	1	0.000000187580526944235	1	NA	1	0.550751290899473	0.129195430672997	0.000000396249204855734	0.0000000299317710034527	0.331090093121799	0.00506219586793035
Dmel_CG3034	MED22	-0.0637446528227649	1	1	1	NA	1	-0.110090240047366	1	1	1	NA	1
Dmel_CG11642	TRAM	-0.0522023478310749	1	0.000000000000000000000000000000000000000161573791760078	1	NA	1	-0.0791960031526648	1	0.000000000000000000000000000000000000513746410181569	1	NA	1
Dmel_CG11405	Atf3	-0.01768591778673	1	0.00000000000000000000000000000000210856940015776	1	NA	1	0.279720059362947	1	0.000000000000000000000000000000966516270842347	1	NA	1
Dmel_CG11415	Tsp2A	-0.0314366863217275	1	0	1	NA	0.000000143465984538344	-0.0399929611821804	1	0	1	NA	1
Dmel_CG14792	sta	-0.0833671120652053	1	0	1	NA	1	-0.70424901881126	0.0000983676236152634	0	0.000124446059018238	-0.232256021066465	1
Dmel_CG14812	CG14812	0.0117787843074034	1	0.00000000000000000000663218561420746	1	NA	1	-0.0999908611750676	1	0.0000000000000000696726018993239	1	NA	1
Dmel_CG14813	deltaCOP	0.0224950428208716	1	0.000000000053169601202099	1	NA	1	0.279478632256357	1	0.0000000135891306359351	0.0735682041640892	NA	1
Dmel_CG14802	MED18	-0.0303482286430485	1	1	1	NA	1	-0.176900503698401	1	1	1	NA	1
Dmel_CG14817	CG14817	-0.0151678836625366	1	0.0000000000000000117447368591095	1	NA	1	-0.297145090427248	1	0.0000000000000471782512647452	1	NA	1
Dmel_CG14818	CG14818	-0.0547810232776176	1	0.134401509641679	1	NA	1	-0.143191651805694	1	0.571892078765904	1	NA	1
Dmel_CG11579	arm	-0.000794007844718431	1	0.00032904510309789	1	NA	1	-0.274813916648339	1	0.00726037049705642	1	NA	1
Dmel_CG17766	Rbcn-3B	-0.0116695317049006	1	0.000146522804126505	1	NA	1	-0.212340281722141	1	0.000378215039122874	1	NA	1
Dmel_CG11596	CG11596	-0.0212959868135073	1	0.00000122958828639136	1	NA	1	0.265362324946964	1	0.0677391989902275	1	NA	1
Dmel_CG4406	PIG-K	-0.0319000074902139	1	0.00000000020657682496796	1	NA	1	-0.415482349001518	1	0.00000398968101338527	1	NA	1
Dmel_CG4399	east	-0.0154076050220138	1	1	1	NA	1	0.163488012696816	1	1	1	NA	1
Dmel_CG3717	bcn92	-0.0292853575417824	1	0.000000000000000000000162510529793884	1	NA	1	0.154500125977283	1	0.00000000000136983691740508	1	NA	1
Dmel_CG3621	ND-B14.5A	-0.066313699692509	1	0.0000000000000000000000000000000000000000000000000000000000000000000000486059789321076	1	NA	1	-0.222620365809461	1	0.0000000000000000000000000000000000000000000000000000000000000257444481033748	1	NA	1
Dmel_CG17776	CG17776	-0.00663136968493416	1	0.000000000307364633976099	1	NA	1	-0.192673422443007	1	0.0000000844622181700457	1	NA	1
Dmel_CG2924	CG2924	-0.0528115757675521	1	0.0314198162618286	1	NA	1	-0.139660086031861	1	0.00259755373009802	1	NA	1
Dmel_CG2918	CG2918	-0.0459121918574201	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000557696773805119	1	NA	1	0.423078850146325	1	0.00000000000000000000000000000000000000000000000000000000000000000000000000446468916586769	1	NA	1
Dmel_CG2865	CG2865	0.0360170737173206	1	0.000000000000000000000000000074335008391267	1	NA	1	-0.0984254914922764	1	0.000000000000000000000000000735368594488576	1	NA	1
Dmel_CG7925	tko	-0.0392862664001634	1	1	1	NA	1	0.00905286739543146	1	0.389008928505989	1	NA	1
Dmel_CG9659	egh	-0.0247107635697155	1	0	1	NA	1	0.346353933209044	1	2.47670817448738e-304	0.416066131108516	NA	1
Dmel_CG8636	eIF3g1	0.00133168376233722	1	0.000000000000000000000000146762738199181	1	NA	1	0.235265500300242	1	0.0000000000000000000148013864133737	1	NA	1
Dmel_CG2621	sgg	-0.0294095926905446	1	0.000001183343380305	1	NA	1	0.223789880020279	1	0.00000249543199968046	1	NA	1
Dmel_CG2677	eIF2Bbeta	0.0528064874224169	1	1	1	NA	1	-0.234109510677476	1	1	1	NA	1
Dmel_CG18508	CG18508	0.00992612404142363	1	0.0000000000413471480843732	1	NA	1	-0.254780511893046	1	0.0000000574886581230153	1	NA	1
Dmel_CG32498	dnc	-0.0465376163486527	1	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194712332918168	1	NA	1	-0.138172342253632	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000150866387854718	1	NA	1
Dmel_CG10798	Myc	0.0542256570265139	1	0.000000000000000000000000000000000000000000000000000000206753373727352	1	NA	1	0.443979706665901	1	0.000000000000000000000000000000000000000000000000232506658969532	0.0000182413876584669	0.229410725068712	1
Dmel_CR34335	lncRNA:CR34335	0.0595211661246609	1	4.0229664976613e-253	1	NA	1	-0.153168336510737	1	1.06301491150679e-235	1	NA	1
Dmel_CG34412	Tlk	0.0258270369664966	1	0.0000000526585994636279	1	NA	1	-0.0277998543428499	1	0.0000555803842379065	1	NA	1
Dmel_CG2934	VhaAC39-1	-0.0686455120471	1	0.00000000000000000000000000000000000000021551834654746	1	NA	1	0.0651170974959835	1	0.0000000000000000000000000000000171783834550448	1	NA	1
Dmel_CG5014	Vap33	0.0181916105958536	1	0.0000000000000000000000000000000000037439965087397	1	NA	1	-0.0674507870172272	1	0.0000000000000000000000000000327754272594181	1	NA	1
Dmel_CG3665	Fas2	-0.0319457909460311	1	1.2530617786907e-112	1	NA	1	0.330819872656044	1	3.36864367228861e-111	1	NA	1
Dmel_CG3712	mRpL33	-0.00375736576876805	1	0.0339055972289115	1	NA	1	-0.201984026713335	1	0.223001451954016	1	NA	1
Dmel_CG3564	CHOp24	-0.0501456737339088	1	0.00000000000000000000000000000000000000000000000000261292192651032	1	NA	1	-0.0787080237146647	1	0.00000000000000000000000000000000000000000572686593185745	1	NA	1
Dmel_CG11444	CG11444	-0.0662860941393689	1	0.000470233247750542	1	NA	1	0.0717776097589856	1	0.00345286446198225	1	NA	1
Dmel_CG12212	peb	-0.0171202035075906	1	0.00000000000000000000000000000000000000000000960476025920505	1	NA	1	0.139361160867287	1	0.00000000000000000000000000000000000741578003220858	1	NA	1
Dmel_CG3024	Torsin	-0.0138266400750542	1	0.00000000000000000000000000178011256344867	1	NA	1	-0.254732516801958	1	0.00000000000000000000000124595903743122	1	NA	1
Dmel_CG6998	ctp	-0.0283986894807586	1	1.40998140311476e-112	1	NA	1	-0.32866699624713	1	6.69078039620643e-109	1	NA	1
Dmel_CG32772	CG32772	0.0013988934683701	1	0.00161569443890491	1	NA	1	-0.0709502530614832	1	1	1	NA	1
Dmel_CG44774	CG44774	-0.048774004247293	1	0.0000000000000000000000000565531894493879	1	NA	1	-0.173424102553204	1	0.000000000000000000459455657871908	1	NA	1
Dmel_CG32767	CG32767	0.0115452298366095	1	1	1	NA	1	0.0940089577596622	1	0.235124770027912	1	NA	1
Dmel_CG4528	snf	0.0413680631877341	1	0.00184226705435889	1	NA	1	-0.227922443666673	1	0.217530586110098	1	NA	1
Dmel_CG3201	Mlc-c	-0.0992112448572561	1	8.43194650908311e-260	1	NA	1	0.394476093171845	1	1.25983201785018e-226	1	NA	1
Dmel_CG3129	Rab18	-0.0243016341517689	1	0.00000000000000354285986737509	1	NA	1	0.191488803732965	1	0.0000000000128549339113558	1	NA	1
Dmel_CG4111	RpL35	0.00441446375374582	1	3.80420633373526e-178	1	NA	1	-0.476667313491209	1	9.71205424024445e-162	0.10183564200748	NA	1
Dmel_CG3086	MAPk-Ak2	-0.0609179398250066	1	0.0000000000223201829506793	1	NA	1	0.17512468784165	1	0.0000000000020185065221665	1	NA	0.133029098261049
Dmel_CG4027	Act5C	0.0133353798808187	1	0	1	NA	1	-0.338232869381616	1	0	1	NA	1
Dmel_CG6041	CG6041	-0.0497786320184603	1	0	1	NA	1	-0.488372626391556	0.971167476911833	0	1	NA	1
Dmel_CG3595	sqh	-0.0470257057088082	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000988340235894375	1	NA	1	-0.01074194595178	1	0.000000000000000000000000000000000000000000000000000000000000000000000000488509803205764	1	NA	1
Dmel_CG3576	schlank	0.0136706548922158	1	0.000000000000000000000000000000000000000000000000000000000000000374883234539569	1	NA	1	-0.178842746875214	1	0.0000000000000000000000000000000000000000000000000000436359649316395	1	NA	1
Dmel_CG3566	CG3566	-0.0579636395393973	1	0.00000000000000000000000000000000000132488260748098	1	NA	1	-0.171232684683212	1	0.00000000000000000000000000000398024708483489	1	NA	1
Dmel_CG32744	Ubi-p5E	0.0132272068811106	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000019194767499901	1	NA	1	0.0468393682199942	1	0.000000000000000000000000000000000000000000000000000000000000000000000000113636735607806	1	NA	1
Dmel_CG3455	Rpt4	-0.069638227927481	1	0.00000000000000000000000564358471421296	1	NA	1	0.0572414287960923	1	0.0000000000000000000252306152467942	1	NA	1
Dmel_CG15891	CG15891	-0.0270581650179735	1	0.441979496169082	1	NA	1	-0.327813915995016	1	1	1	NA	1
Dmel_CG3446	ND-B16.6	-0.0540486134818165	1	0.000000000000000000000000000000000000000000000000000000000000000000729661028895419	1	NA	1	-0.564036698680204	0.0797025092900905	0.00000000000000000000000000000000000000000000000000000000000266996170305818	1	NA	1
Dmel_CG3314	RpL7A	-0.0296501930364045	1	1.31663184447956e-191	1	NA	1	-0.61511893019312	0.0101000974520493	1.69920967903601e-178	0.000209038279869981	-0.158504740678295	1
Dmel_CG3973	pigs	0.0527002170934779	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000288722763806591	1	NA	1	-0.198730863576118	1	0.0000000000000000000000000000000000000000000000000000000000000000424073782254181	1	NA	1
Dmel_CG3226	CG3226	-0.0518446134611317	1	0.00000000418510395687917	1	NA	1	0.127577695625304	1	0.0000506519750654144	1	NA	1
Dmel_CG3198	CG3198	-0.123779975103752	0.848744010880935	0.316475220914487	1	NA	1	0.0224573419514723	1	1	1	NA	1
Dmel_CG3192	ND-ASHI	-0.0242138448075686	1	0.000000000000000000000000000000485460660066724	1	NA	1	-0.313489803920654	1	0.0000000000000000000000000000249152817081642	0.00923346305439978	-0.32699963936097	1
Dmel_CG3203	RpL17	-0.0195832117750507	1	1.00094951921912e-196	1	NA	1	-0.306874957258668	1	2.44702232350465e-176	0.0000309914388735215	-0.337994328769869	1
Dmel_CG43736	CG43736	-0.0169885637686645	1	0.102913415244595	1	NA	1	-0.290218904021941	1	0.01520770470297	1	NA	1
Dmel_CG43770	Sxl	-0.0710623331758937	1	0.0000266290550908552	1	NA	1	0.193943541896379	1	0.000667624232002313	1	NA	1
Dmel_CG9650	CG9650	-0.0546364413814955	1	0.000000000000000000000000000000000000000000000000000000000000000000000000403272544350982	1	NA	1	-0.157240736418627	1	0.00000000000000000000000000000000000000000000000140153594436621	1	NA	1
Dmel_CG1677	CG1677	-0.0455290544017959	1	0.000000000000652107526037499	1	NA	1	0.160045899427668	1	0.0000000403953103935937	1	NA	1
Dmel_CG1659	unc-119	-0.032885078606557	1	0.225242657617889	1	NA	1	0.147758650067664	1	1	1	NA	1
Dmel_CG10944	RpS6	-0.0285120260736236	1	5.34570203089892e-125	1	NA	1	-0.461719938826298	1	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041010826379371	1	NA	1
Dmel_CG1444	spidey	-0.0423741456397094	1	0.0000000000000000000000000000000000796030434153083	1	NA	1	-0.181954390821558	1	0.000000000000000000000000000738856720027543	1	NA	1
Dmel_CG1515	Ykt6	-0.0744787273671913	1	0.073671779029181	1	NA	1	-0.010865867379228	1	0.0730546786279271	1	NA	1
Dmel_CG10777	mahe	0.0249247472413393	1	0.843250424762816	1	NA	1	0.0713402725292517	1	1	1	NA	1
Dmel_CG1524	RpS14a	-0.00851603566578547	1	7.43151425532662e-138	1	NA	1	-0.344940327278438	1	8.68424730620391e-119	0.0472166185011744	-0.157546572408262	1
Dmel_CG1527	RpS14b	0.0429803798767334	1	0.0000000000000000000000000000000396737794768619	1	NA	1	-0.416252857999117	1	0.000000000000000000000000338179944851058	1	NA	1
Dmel_CG2252	fs(1)h	0.0350985197356798	1	0.00000102926997930796	1	NA	1	0.118739165955616	1	0.0000409489640857318	1	NA	1
Dmel_CG1560	mys	-0.0625340643849045	1	0.000000000000000696622696032779	1	NA	1	0.17397209951462	1	0.00000000000883010370542437	1	NA	1
Dmel_CG2262	Smox	-0.0535648166867877	1	0.00000000000000000470926714529161	1	NA	1	-0.421081378375242	1	0.000000000000107461347302673	1	NA	1
Dmel_CG2272	slpr	-0.00443495588058053	1	1	1	NA	1	0.271662813811912	1	1	1	NA	1
Dmel_CG2151	Trxr-1	-0.122094175661485	1	9.44604478822418e-162	1	NA	1	0.53707282670106	0.208049515786916	1.52714663614076e-134	0.00000000610745428346695	0.419907842392348	1
Dmel_CG11190	PIG-T	-0.0176729059480837	1	0.000000014758451174766	1	NA	1	-0.18865361474067	1	0.00000174881875605155	1	NA	1
Dmel_CG32711	lawc	-0.0170211906592934	1	0.00000000000000000120413360924412	1	NA	1	0.395294780088408	1	0.0000000000000187961784892867	0.314594771926938	NA	0.663623559200752
Dmel_CG18009	Trf2	-0.00147462892418921	1	0.0204017661386913	1	NA	1	0.258897583001031	1	0.156268783177191	1	NA	1
Dmel_CG1440	CG1440	-0.0140957178890545	1	0.0109596017779343	0.0415723423913684	-0.0434247770074257	1	-0.203910237137716	1	0.270583501344716	1	NA	1
Dmel_CG15347	CG15347	-0.0547225958896776	1	0	1	NA	1	-0.325711898560142	1	0	1	NA	1
Dmel_CG1634	Nrg	-0.0327931691176284	1	0.000000000000000000000000000304965401055598	1	NA	1	0.188422508667049	1	0.00000000000000000000000218327024718306	1	NA	1
Dmel_CG12065	CG12065	-0.0550771007616465	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000018113786227311	1	NA	1	0.123425327387404	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000015556269503335	1	NA	1
Dmel_CG1789	CG1789	-0.0193575863025632	1	0.0000000000000000000000541557308609223	1	NA	1	0.115871236298227	1	0.000000000000000000539671843887744	1	NA	1
Dmel_CG10701	Moe	-0.0597966656739325	1	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314040648449669	1	NA	1	0.0616504504753092	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000255571978830121	1	NA	1
Dmel_CG1871	e(r)	-0.0334337465924498	1	1	1	NA	1	0.0430248124880425	1	1	1	NA	1
Dmel_CG44325	CG44325	-0.030589872853398	1	0	1	NA	1	-0.50685421086916	0.556032840471537	0	1	NA	1
Dmel_CG7033	CCT2	0.0137440412412889	1	0.0000000000000000000025077030126025	1	NA	1	0.241625507533786	1	0.0000000000000000000967007663127866	1	NA	1
Dmel_CG9113	AP-1gamma	0.0051107635580807	1	0.00504347680553245	1	NA	1	-0.0261239015360401	1	0.0102213159037145	1	NA	1
Dmel_CG8989	His3.3B	-0.0596097929593029	1	0.00000317504295705472	1	NA	1	-0.223593852609151	1	0.00350751722903302	1	NA	1
Dmel_CG9022	Ost48	-0.113288570957218	1	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000622346863947101	1	NA	1	0.32663258081855	1	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000185987568557387	1	NA	1
Dmel_CG9034	CG9034	-0.027338997356791	1	0.00000000000000000000000000000000000000004000463298913	1	NA	1	-0.127425245470708	1	0.000000000000000000000000000000319274396009199	1	NA	1
Dmel_CG12218	mei-P26	-0.00867367934637841	1	1	1	NA	1	0.0842245642402032	1	1	1	NA	1
Dmel_CG12135	c12.1	-0.0549353735983337	1	0.752742399740098	1	NA	1	-0.0504429405919902	1	1	1	NA	1
Dmel_CG34449	CG34449	-0.0379448030616295	1	0.00000000000000913673679270584	1	NA	1	0.176670967349333	1	0.000000000000616875899981151	1	NA	1
Dmel_CG32701	l(1)G0320	0.0111131721715893	1	0.00000000000000000000101534656889692	1	NA	1	0.119703843313556	1	0.00000000000000000000322947130674752	1	NA	1
Dmel_CG2998	RpS28b	0.0195257483063958	1	1.00276669006456e-208	1	NA	1	-0.447067019750415	1	2.68899422716591e-192	0.0000000245301621054174	-0.346098126754351	0.398772526276415
Dmel_CG3001	Hex-A	-0.0365229429135243	1	6.70124152554074e-145	1	NA	1	0.23054787754281	1	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000377032463785837	1	NA	1
Dmel_CG32697	Ptpmeg2	-0.0391844956581678	1	0.346608159527911	1	NA	1	-0.320904299409472	1	0.0879339517840723	1	NA	1
Dmel_CG15319	nej	0.0340016391883689	1	1	1	NA	1	-0.216423229643331	1	1	1	NA	1
Dmel_CG32685	ZAP3	-0.0291066945562263	1	0.00000101062349779269	1	NA	1	0.198973206125538	1	0.00909078579876897	1	NA	1
Dmel_CG2968	ATPsyndelta	-0.00622145766276683	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000111367040842156	1	NA	1	-0.651129724810296	0.00186490437508508	0.0000000000000000000000000000000000000000000000000000000000000000000356962108906755	1	NA	1
Dmel_CG17841	CG17841	-0.0281312535752886	1	1.59503264101226e-222	1	NA	1	0.230166278168683	1	2.46807888873027e-205	1	NA	1
Dmel_CG2096	flw	0.0185456910495694	1	0.000000000146315252624627	1	NA	1	0.0564218738947654	1	0.000397915603443457	1	NA	1
Dmel_CG15304	Neb-cGP	0.000872541433262966	1	1.22796283092272e-164	1	NA	1	-0.588507501459939	0.0309497654188734	6.23737478722978e-126	1	NA	1
Dmel_CG17255	nocte	-0.0260331171989008	1	0.67425622870967	1	NA	1	0.202849903855371	1	1	1	NA	1
Dmel_CG2890	PPP4R2r	-0.00493880223072331	1	0.0000000000913488086070537	1	NA	1	-0.268498622049611	1	0.00000000019076120461769	1	NA	1
Dmel_CG1799	ras	-0.0958046207201612	1	0.00000000000000000000000000000000000000000000000950357703499767	1	NA	1	-0.23736091877585	1	0.0000000000000000000000000000000000000168595137295378	1	NA	1
Dmel_CG32672	Atg8a	0.0222647768686535	1	1.23088491217883e-138	1	NA	1	-0.30880830177405	1	3.95780825760341e-109	0.892421627899846	NA	1
Dmel_CG16944	sesB	-0.0254467629429262	1	0	0.497094187655122	NA	1	-0.536012093240375	0.215696559979868	0	1	NA	1
Dmel_CG1691	Imp	-0.00526998015388046	1	2.33850952558901e-116	1	NA	1	-0.147003332330203	1	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000195792166680136	1	NA	1
Dmel_CG2076	CG2076	-0.0533679725739627	1	6.90419954214225e-114	1	NA	1	0.144473539081175	1	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000426126352245726	1	NA	1
Dmel_CG12101	Hsp60A	-0.0387838323684136	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000941154121434366	1	NA	1	0.136269407725048	1	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000123268254034967	1	NA	1
Dmel_CG11122	CG11122	-0.0736595812768313	1	1	1	NA	1	0.22750646629941	1	1	1	NA	1
Dmel_CG16916	Rpt3	-0.0802570000237859	1	0.000000000000000888464864387637	1	NA	1	-0.118163078550504	1	0.0000000000000114404247782466	1	NA	1
Dmel_CG1404	Ran	-0.0421892304374034	1	0.0000000000000000000000000000000000000000026675004073899	1	NA	1	0.0735780695610043	1	0.00000000000000000000000000000000000000153468033699879	1	NA	1
Dmel_CG11752	CG11752	-0.0785406239406758	1	0.0000000000000000000000000332945218496559	1	NA	1	-0.36654571827233	1	0.000000000000000000000997969881567973	1	NA	1
Dmel_CG11750	Pa1	-0.10408883263684	1	0.0000000000000000126715572341011	1	NA	1	0.203122955975863	1	0.0000000000000000198338345775595	1	NA	1
Dmel_CG1728	Tim8	0.0242911913691916	1	0.000000000000000000000000000000000000000000000000000000000000160248807736995	1	NA	1	-0.124987430510557	1	0.0000000000000000000000000000000000000000000000000000000329741732283282	1	NA	1
Dmel_CG1725	dlg1	0.00300432111816055	1	0.000000771114694741493	1	NA	1	0.00821157771017147	1	0.000305787812162763	1	NA	1
Dmel_CG1751	Spase25	-0.0695898977090759	1	0.00000000000000000000000000000000000000000000000000000233497584463201	0.086709217111672	NA	1	-0.28660042063631	1	0.000000000000000000000000000000000000000000000000659202141692485	1	NA	1
Dmel_CG32666	Drak	0.000930958521435716	1	0.000000000000000000000000000000000000000000000000000000000000000000160948236242753	1	NA	1	0.0984250420348644	1	0.0000000000000000000000000000000000000000000000485713070391675	1	NA	1
Dmel_CG1554	RpII215	0.0135813955448208	1	1	1	NA	1	0.230933782790332	1	1	1	NA	1
Dmel_CG11699	CG11699	-0.0755405442561502	1	0.0385625835054334	1	NA	1	-0.39590947179162	1	0.121478519604826	1	NA	1
Dmel_CG1703	CG1703	-0.00444040056127646	1	0.00000000000000000000115525040530841	1	NA	1	0.0501509918639902	1	0.0000000000000000282523138685594	1	NA	0.115223012794247
Dmel_CG1822	bif	-0.081033313598367	1	0.0000000000000000533961605083964	1	NA	1	-0.127686484706423	1	0.000000000000000000123084033750738	1	NA	1
Dmel_CG2446	Amun	-0.012833927315308	1	0.0000027950923893499	1	NA	1	-0.0701344356829046	1	0.0000249943426232198	1	NA	1
Dmel_CG1837	prtp	-0.0525420975415622	1	0.0000000000000000000000000000000000000000000000000270520608192652	1	NA	1	0.0723308936777932	1	0.0000000000000000000000000000000000000000000935326291050212	1	NA	1
Dmel_CG15224	CkIIbeta	-0.0222575325270722	1	0.0017271688114381	1	NA	1	0.0594443951611767	1	0.574473569414865	1	NA	1
Dmel_CG4147	Hsc70-3	-0.00916234295606399	1	2.94161550628174e-275	1	NA	1	0.684295007370043	0.000319127699766492	2.80272043755878e-263	0.000000315355272020974	0.537403300421233	1
Dmel_CG43154	rudhira	0.0109470628623763	1	0.000000000000000000465235541888421	1	NA	1	-0.0435719490394289	1	0.000000000000415275614414368	1	NA	1
Dmel_CG1967	p24-1	-0.110841539873582	1	5.01560936804719e-182	0.0983734798625884	NA	1	-0.108269214059477	1	2.43560004326611e-165	1	NA	1
Dmel_CG1844	SelG	-0.0259503702727913	1	0.0000000000846798098234015	1	NA	1	-0.0565285493377925	1	0.0000000436356842981158	1	NA	1
Dmel_CG15735	Lsm12	-0.00499568942948045	1	1	1	NA	1	0.270672820464575	1	0.848095692433047	1	NA	1
Dmel_CG1490	Usp7	0.0009019129104033	1	1	1	NA	1	-0.134687780537676	1	1	1	NA	1
Dmel_CG2556	CG2556	-0.0556589735706376	1	2.40601547034592e-155	1	NA	1	-0.320290328124395	1	6.8925686034528e-109	1	NA	1
Dmel_CG11138	Pits	0.0269844597048792	1	0.0000000000000000000000000000000000000000000000000000000000606060958673833	1	NA	1	-0.271900264678623	1	0.000000000000000000000000000000000000000000000652572145598737	1	NA	1
Dmel_CG2028	CkIalpha	-0.0488938458421274	1	0.0413798142229786	1	NA	1	0.00641653873337017	1	0.126223522842453	1	NA	1
Dmel_CG4070	Tis11	0.0352293358273666	1	0.0000000000000000000000000000136029797756219	1	NA	1	-0.0606330122201078	1	0.000000000000000000000000000000307821563664175	1	NA	1
Dmel_CG4013	Smr	-0.0136316828338154	1	0.0000000000000000000000000000000000000000000000162002815301905	1	NA	1	-0.18134174729436	1	0.000000000000000000000000000000000000000580351746170478	1	NA	1
Dmel_CG3989	Paics	0.00140912807263339	1	0.00000000000000000000000000000057451149146184	1	NA	1	-0.0975221005470652	1	0.00000000000000000000000000000140076310493144	1	NA	1
Dmel_CG4647	mRpL49	-0.0295731142675117	1	0.000000000125688291333442	1	NA	1	0.0325602932168534	1	0.00000002065590850531	1	NA	1
Dmel_CG4353	hep	-0.0676282769539853	1	0.000000743315875946108	1	NA	1	0.343522788096351	1	0.082950629350922	1	NA	1
Dmel_CG1771	mew	-0.0258828202742128	1	0.000000000000000000000000000000000000000000000000000000000000000173972706901008	1	NA	1	-0.0939912776457815	1	0.00000000000000000000000000000000000000000000000000000433493263159277	1	NA	1
Dmel_CG1770	HDAC4	-0.0390422734151701	1	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000139792309521997	1	NA	1	-0.112571194277583	1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000978645933337888	1	NA	1
Dmel_CR45018	lncRNA:CR45018	0.0372471823671193	1	1.13598541973059e-106	1	NA	1	-0.0486486478720657	1	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012586224899385	1	NA	1
Dmel_CG1633	Jafrac1	-0.0777687061002009	1	2.38836483414115e-263	1	NA	1	-0.450005604604124	1	2.32547677757638e-216	0.0000020045390831181	-0.397866619420801	1
Dmel_CG2033	RpS15Aa	0.0287276087198627	1	2.37584589382816e-190	1	NA	1	-0.503572994441204	0.615324766374573	9.90538893492793e-138	0.199112118333372	NA	1
Dmel_CG1987	Rbp1-like	-0.00165351863914055	1	0.0000000000000000000000000000000000000000000000000000131127894196933	1	NA	1	-0.340585656092323	1	0.0000000000000000000000000000000000000000000000812508467676711	1	NA	1
